,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC2
73,"Mangrove forests in Sri Lanka: An updated review on distribution, diversity, current state of research and future perspectives","Mangrove forests, which are well known for coastal protection and carbon sequestration, are a very productive ecosystem found in estuarine and coastal areas in tropical and subtropical latitudes. This study reviews the current status of mangrove ecology, management and conservation in Sri Lanka. In 2015, Sri Lanka became the first nation to legally protect all its mangrove forests; hence mangrove management in Sri Lanka may act as an important exemplar for other nations. Mangroves are found sporadically in the coastal area of Sri Lanka, including as a few dense mangrove forests. Mangrove vegetation provides a cost-effective ecosystem-based disaster risk reduction capability in Sri Lanka, particularly in the areas with poor living standards. Mangroves are used for timber, fishing materials, medicine and food in the country. Despite the environmental and socioeconomic importance of mangroves, several threats, including the expansion of aquaculture and agriculture, urbanization, pollution, climate change and sea level rise, exist in Sri Lanka. Many mangrove reforestation and afforestation initiatives in Sri Lanka have not succeeded, often because of the lack of sufficient monitoring of seedlings after the reforestation campaign and poor selection of planting sites without proper assessment of environmental conditions. In order to protect mangrove forests in Sri Lanka, some immediate measures need to be implemented. Proper planting of seedlings, community-based mangrove reforestation, sustainable aquaculture practices and proper legal enforcement are some of the important steps for the conservation of this highly productive ecosystem in the country. © 2023 Elsevier B.V.",No,No,"The study does not include a case study of CBFM in a Pacific Island country, as there is no mention of CBFM or any Pacific Island country in the title or abstract."," No; There is no mention of CBFM or any Pacific Island country in the title or abstract.

ReflectionThe title and abstract focus on mangrove forests in Sri Lanka and their ecology, management, and conservation. There is no mention of CBFM or Pacific Island countries, which suggests that this study does not meet the screening criteria.",No,The abstract does not meet the screening criteria as it does not include any examples related to fisheries management.," No; The abstract does not mention fisheries management or provide any examples related to it.
ReflectionThe abstract focuses on mangrove ecology, management, and conservation in Sri Lanka, but does not specifically mention fisheries management.",No,"While the abstract mentions community-based mangrove reforestation as an important step for the conservation of mangrove forests, it does not clearly define it as the primary approach for managing coastal resources in Sri Lanka."," Maybe; The abstract mentions community-based mangrove reforestation as an important step for the conservation of mangrove forests in Sri Lanka. 

ReflectionThe abstract only briefly mentions community-based mangrove reforestation as one of the important steps for the conservation of mangrove forests. However, it does not provide a clear definition of community-based management or mention it as the primary approach for managing coastal resources in Sri Lanka.",No,The paper does not meet the screening criteria as it does not provide any information on the benefits or barriers to CBFM.," No; The paper does not discuss the benefits or barriers to CBFM. 
ReflectionThe paper focuses on the status, management, and conservation of mangrove forests in Sri Lanka. Although the paper discusses the environmental and socioeconomic importance of mangroves, it does not provide any information on CBFM.",
74,"Ten years of Inuit co-management: advancing research, resilience, and capacity in Nunatsiavut through fishery governance","Community-based approaches have risen to prominence in fisheries governance as decision makers have recognized the importance of local perspectives, and Indigenous Peoples have pursued their right to self-determination. In Canada, some Indigenous Peoples have pursued a formalized approach to co-management through land claim agreements. The Torngat Joint Fisheries Board (TJFB) is one such co-management arrangement that focuses on fisheries management in Nunatsiavut, a land claim area in northern Labrador, Canada. This research examines how the TJFB’s work contributes to fisheries governance in the region, and subsequently, how co-management is placed in terms of supporting greater self-determination for Indigenous peoples in resource governance. To understand the TJFB’s role, this research examined 12 years of recorded meeting minutes from 2010 to 2021, highlighting the activities in which the TJFB engages, and how those activities have changed over time. Inductive content analysis was used to understand the activities undertaken by the TJFB, highlighting their actions as well as the strengths and weaknesses of the co-management board in practice. The analysis found that the TJFB plays important roles in research, drafting recommendations, and public education, and that their activities support greater participation from fisheries stakeholders. Land claim–based co-management has a significant impact on how Indigenous sovereignty operates and how it will evolve into the future. The TJFB’s efforts to increase research capacity in the region, push focus towards the socio-cultural dimensions of fisheries management, and strengthen the political voice of the region represent an important move toward self-determination in Nunatsiavut’s commercial fisheries. © 2022, The Author(s).",No,No,The study does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The study focuses on fisheries governance in Canada.
ReflectionThe SC specifies the need for a case study of CBFM in a Pacific Island country, which is not addressed in the title or abstract.",Yes,"The abstract mentions a co-management arrangement that focuses on fisheries management in Nunatsiavut, which meets the screening criteria."," Yes; The abstract mentions fisheries management in Nunatsiavut, a land claim area in northern Labrador, Canada.
ReflectionThe abstract focuses on how co-management is placed in terms of supporting greater self-determination for Indigenous peoples in resource governance, which is broader than fisheries management. However, the abstract also mentions the Torngat Joint Fisheries Board (TJFB), which focuses on fisheries management.",Maybe,"The abstract mentions co-management, but it is unclear whether it meets the definition of community-based management provided in the SC."," Maybe; The abstract mentions co-management, but it is not clear whether it meets the definition of community-based management provided in the SC.
ReflectionThe abstract mentions co-management, but it is unclear whether it meets the definition of community-based management provided in the SC. The authors refer to a ""formalized approach to co-management through land claim agreements,"" but it is not clear whether this involves equal power between government and community, or whether the community has primary responsibility for managing coastal resources.",No,The abstract does not meet the Screening Criteria as it does not contain any information on the benefits of CBFM or barriers to CBFM.," No; The abstract does not mention any information on the benefits of CBFM or barriers to CBFM.
ReflectionThe abstract focuses on the role of a co-management arrangement in fisheries governance in Nunatsiavut and its impact on Indigenous sovereignty. There is no reference to CBFM or any related benefits or barriers.",
75,Improving Adherence to Mediterranean-Style Diet with a Community Culinary Coaching Program: Methodology Development and Process Evaluation,"The Community Culinary Coaching Program is a community-based participatory program aimed at improving communal settlement residents' nutrition. The residents, central kitchens, preschools, and communal dining rooms were identified as areas for intervention. Evaluation included goals accomplishment assessed by food purchases by the central kitchens, and residents' feedback through focus groups. Purchasing included more vegetables (mean (standard error) percent change), (+7% (4); P =.32), fish (+115% (11); P <.001), whole grains, and legumes (+77% (9); P <.001); and less soup powders (-40% (9); P <.05), processed beef (-55% (8); P <.001), and margarine (-100% (4); P <.001). Residents recommended continuing the program beyond the project duration. This model might be useful in organizations with communal dining facilities. © 2018 Wolters Kluwer Health, Inc.",No,No,The study does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The title and abstract do not mention anything about CBFM in a Pacific Island country.

ReflectionCBFM refers to community-based fisheries management, which is a resource management approach that involves communities in decision-making processes regarding their fisheries. The title and abstract do not mention anything about fisheries or Pacific Island countries.",No,The paper does not meet the screening criteria as it does not include any fisheries related examples or focus on fisheries management.," No; The paper is focused on improving communal settlement residents' nutrition and does not include any fisheries related examples.
ReflectionThe paper does not meet the screening criteria as it does not include any mention of fisheries or marine resource management.",No,"While the program described in the abstract is community-based, it is not related to fisheries management or the management of coastal resources as defined by the Screening Criteria."," Maybe; The abstract does not explicitly mention fisheries or coastal resources, but the program is labeled as community-based and participatory. 

ReflectionThe Screening Criteria defines community-based management as an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources. While this abstract does not mention fisheries or coastal resources, it does describe a program that is community-based and participatory in nature. It is possible that this program could be considered a form of community-based management in a broader sense, but it is not directly related to fisheries management.",Maybe,"While the paper does not explicitly mention CBFM, it does contain information on interventions that may be related to CBFM, such as increased vegetable and fish purchases. Further assessment is needed."," No; The paper does not mention CBFM.
ReflectionThe paper discusses a community-based program aimed at improving communal settlement residents' nutrition. Although the paper does not mention CBFM, it does mention interventions that could be related to CBFM, such as increased vegetable and fish purchases.",
76,A Review of Factors Influencing the Seagrass-Sea Cucumber Association in Tropical Seagrass Meadows,"In the tropical ecosystem, sea cucumbers are associated with seagrass meadows in various ways, often forming a network of ecological interactions. From this myriad of interactions, the trophic relationship between the seagrasses and sea cucumbers has received recent attention with the advent of analytical techniques. However, little is understood about the exact mechanism by which seagrasses are sustaining the sea cucumber populations in the food chain, considering the high number of refractory components in seagrasses and the lack of digestive enzymes among sea cucumbers. This manuscript aims to review existing concepts in ecology concerning the association between tropical seagrasses and sea cucumbers to provide directions for research and management of this vital resource. We searched literature from electronic databases and identified key concepts concerning sea cucumber and seagrass communities based on geographic distribution, nutrient compositions, seagrass decomposition process, and trophic enrichments in the food chain. A conceptual model was then developed detailing the factors influencing the association between the seagrass meadows and sea cucumbers. Despite the limited published information on the seagrass–sea cucumber association, a synthesis of the current understanding of this topic is provided to address the declining sea cucumber populations in the tropical seagrass meadows. We suggest that the successful restoration of sea cucumber fisheries requires a thorough understanding of the seagrass decomposition process, which is vital to the diet of sea cucumbers. Copyright © 2021 Floren, Hayashizaki, Putchakarn, Tuntiprapas and Prathep.",No,No,The study does not include a case study of CBFM in a Pacific Island country as there is no mention of CBFM in the title and abstract.," No; There is no mention of CBFM in a Pacific Island country in the title and abstract.
ReflectionThe title and abstract are focused on the seagrass-sea cucumber association, and there is no indication that the study includes a case study of CBFM in a Pacific Island country.",Yes,"The paper includes a focus on fisheries management by discussing the declining sea cucumber populations in tropical seagrass meadows and suggesting the need for a thorough understanding of the seagrass decomposition process, which is vital to the diet of sea cucumbers."," Maybe; The abstract does not explicitly mention fisheries, but it does focus on the management of a vital resource.

ReflectionThe abstract discusses the relationship between seagrasses and sea cucumbers and the factors that influence their association. While it does not explicitly mention fisheries, it does mention the declining sea cucumber populations in tropical seagrass meadows and suggests a thorough understanding of the seagrass decomposition process is vital to the diet of sea cucumbers. Therefore, it could be argued that this paper includes a focus on fisheries management.",No,The paper does not meet the screening criteria for community-based management as defined in the SC.," No; The paper does not discuss community-based management or use the language of CBM/CBFM as defined in the SC.
ReflectionThe paper does not address community-based management as defined in the SC. There is no mention of any community or fisher involvement in the management of coastal resources in the abstract.",No,The paper does not meet the screening criteria as it does not contain information on the benefits or barriers to CBFM.," No; The title and abstract do not mention CBFM at all.
ReflectionThe title and abstract do not relate to CBFM, so it is not likely that the paper contains information on the benefits or barriers to CBFM.",
77,Recommendations for the management of subsistence fisheries in South Africa,"This paper summarizes recommendations for the management of previously marginalized and neglected subsistence fisheries in South Africa. The recommendations stem from the activities and analyses of a task group appointed by Government and mandated to provide advice about management of the new fishing sector. The following focus areas were identified for attention: planning for implementation; definitions of subsistence fishers and other sectors; assessment and categorization of resources; determination of types of fishing activities; zonation; management systems; training; communication mechanisms; application and allocation procedures; compliance processes; research and monitoring; development of institutional capacity. Subsistence fishers were defined as poor people who personally harvest marine resources as a source of food or to sell them to meet basic needs of food security; they operate on or near to the shore or in estuaries, live in close proximity to the resource, consume or sell the resources locally, use low-technology gear (often as part of a long-standing community-based or cultural practice), and the resources they harvest generate only sufficient returns to meet basic needs of food security. A second group of informal fishers was identified that fishes for profit but cannot be equated to large industrial fisheries, and a new sector was proposed to accommodate these artisanal ""small-scale commercial"" fishers. Resources were classified for use by these different sectors based on accessibility, fishing methods, cash value and sustainability. In all, 12 different categories of subsistence and small-scale commercial fisheries were identified, and a preliminary list of resource species suitable for different fishing sectors is presented. A multi-tiered institutional management structure is recommended, with the national agency (MCM) controlling issues of national concern, and supporting and coordinating the activities of provincial and local structures. The management agents required for effective implementation were identified and include a dedicated national Subsistence Fisheries Management Unit, provincial management agencies that have the capacity to be delegated authority, Regional Fieldworkers, an independent Advisory Group for Subsistence Fisheries Management, local co-management structures, and community monitors responsible for observing and recording fishing activities and catches: Co-management, involving both authorities and users in joint management; is advocated in preference to previous top-down approaches, because of its potential to improve communication and compliance.",No,No,The study does not meet the screening criteria as it does not include any case study of CBFM in a Pacific Island country.," No; The title and abstract do not mention any case study of CBFM in a Pacific Island country.
ReflectionThe title and abstract focus on subsistence fisheries management in South Africa, which is not a Pacific Island country.",Yes,"The paper focuses on the management of subsistence fisheries in South Africa, which falls under the category of fisheries related examples."," Yes; The paper title and abstract focus on the management of subsistence fisheries in South Africa.

ReflectionThe paper title and abstract focus on the management of fisheries, specifically subsistence fisheries, and provide recommendations for their management.",Maybe,"The paper mentions co-management, but it is not clear whether it fits the definition of community-based management provided in the SC."," Maybe; The paper mentions co-management but it is not clear whether it fits the definition of community-based management.
ReflectionThe paper discusses the use of co-management but it is not defined as having equal power between government and community to manage. It is not clear whether this fits the definition of community-based management provided in the SC.",No,The paper is not relevant to the screening criteria as it is not about CBFM.," No; The paper is not about CBFM, but rather about the management of subsistence fisheries in South Africa.
ReflectionThe paper is not relevant to the screening criteria as it is not about CBFM, but rather about the management of subsistence fisheries in South Africa.",
78,Fisheries resource-use culture in Fiji and its implications,"Fishery exploitation in Fiji involves five discrete sectors: subsistence, artisanal, aquaculture, recreational and industrial. The different sectors vary in nature, characteristics and associated issues. Interesting developments are now taking place as coastal Fijian communities are addressing the ecological problems associated with dwindling resources. The people have initiated various attempts to identify more sustainable ways of using their fishery resources and are incorporating traditional and community-based resource-use methods into contemporary arrangements.",Yes,Maybe,Further review of the full paper is required to determine if it includes a case study of CBFM in a Pacific Island country.," Maybe; The abstract mentions that coastal Fijian communities are addressing ecological problems and incorporating traditional and community-based resource-use methods into contemporary arrangements, but it is unclear whether a case study of CBFM is included.

ReflectionThe SC requires a case study of CBFM in a Pacific Island country. The abstract mentions that coastal Fijian communities are addressing ecological problems and using traditional and community-based resource-use methods, but it is unclear whether a case study of CBFM is included. It is necessary to read the full paper to determine whether it meets the screening criteria.",Yes,"The title and abstract are focused on fisheries resource-use culture in Fiji and its implications, meeting the screening criteria."," Yes; The title and abstract specifically mention fisheries resource-use culture in Fiji.

ReflectionThe title and abstract focus on fisheries exploitation and its associated issues in Fiji, including an emphasis on sustainable resource-use methods. While broader marine resource management is mentioned, it is still within the context of fisheries management.",Maybe,"While the abstract suggests that coastal Fijian communities are incorporating traditional and community-based resource-use methods, it is not clear whether this involves primary responsibility for managing their coastal resources."," Maybe; The abstract mentions that coastal Fijian communities are incorporating traditional and community-based resource-use methods into contemporary arrangements, but it is not clear whether this involves primary responsibility for managing their coastal resources.
ReflectionThe paper does not explicitly use the term ""community-based management"" or ""CBM/CBFM"", but the mention of traditional and community-based resource-use methods suggests that there may be some level of community involvement in managing coastal resources.",Maybe,"While the abstract does not explicitly mention CBFM, it is possible that information on its benefits or barriers could be present in the study due to the mention of incorporating traditional and community-based resource-use methods into contemporary arrangements."," Maybe; The abstract mentions sustainable ways of using fishery resources, which could potentially include community-based fishery management (CBFM) and therefore information on its benefits or barriers.
ReflectionThe abstract mentions that Fijian communities are incorporating traditional and community-based resource-use methods into contemporary arrangements, but it does not explicitly mention CBFM. However, it is possible that CBFM could be included in these methods and therefore information on its benefits or barriers could be present in the study.",
79,Introduction: Amazon fisheries,"Twelve years ago, a session on aquatic resources was organized during the first várzea conference. The articles presented in this session focused exclusively on fish resources, and analyses were based on only two study areas. The potential of community-based management for sustainable use of aquatic resources dominated the discussions. Twelve years later, the second várzea conference organized a similar session on aquatic resources. Some resemblances between the sessions could be noted, including familiar authors, research areas, and topics. The differences, however, are worth noting, among them the inclusion of floodplain resources other than fish. Community-based management again dominated the discussion but the second conference featured more critical analysis of its potential and limitations since after years of practical experience, several initiatives are evaluated. In general the chapters in this section show that significant progress in theory, methods, and practice was achieved in the last decade. Several issues remain to be better explored, including monitoring problems, and the availability of very limited data on co-management processes for making policy decisions. Scale also remains an issue, as do a series of land tenure issues. © Springer Science+Business Media B.V. 2011. All rights reserved.",No,No,The Title and Abstract do not mention any case study of CBFM in a Pacific Island country.," No; There is no mention of CBFM or any Pacific Island country in the Title or Abstract.
ReflectionThe Title and Abstract do not seem to fulfill the SC requirement as both lack any reference to CBFM or any Pacific Island country.",Yes,"The paper includes a focus on fisheries management, despite the inclusion of other aquatic resources."," Maybe; The abstract mentions the inclusion of floodplain resources other than fish, but it also states that community-based management dominated the discussion.

ReflectionThe abstract mentions fisheries as the main focus of the first session, and while the second session includes other aquatic resources, it still discusses community-based management in relation to fisheries management. Therefore, it could be argued that the paper still includes a focus on fisheries management.",Maybe,"The abstract mentions the potential of community-based management and its dominance as a topic in the conference, but it is not clear whether the studies presented were exclusively focused on this approach to fisheries management or also included other types of management."," Maybe; The abstract mentions the potential of community-based management, but it is not clear whether the studies presented in the conference were exclusively focused on community-based management or also included other types of management.

ReflectionThe abstract mentions community-based management as a dominant topic in the conference, but it is not clear whether the studies presented were exclusively focused on this approach to fisheries management or also included other types of management.",Maybe,"The abstract discusses community-based management, but it is unclear if the paper provides information on the benefits or barriers to CBFM specifically."," Maybe; While the abstract mentions community-based management, it does not specifically mention CBFM or provide enough information to determine if the paper meets the screening criteria. 

ReflectionThe abstract discusses community-based management and its potential and limitations for sustainable use of aquatic resources. While CBFM is not specifically mentioned, it is a type of community-based management. It is unclear if the paper provides information on the benefits or barriers to CBFM specifically.",
80,The role of taboos in the protection and recovery of sea turtles,"Despite increased efforts from government agencies, scientists, and non-government organizations over the past few decades, anthropogenic sources of sea turtle mortality continue to threaten the survivorship of sea turtle species around the globe. More recent efforts to engage local people with community-based sea turtle conservation programs have been based primarily on economic incentives and less on cultural and social traditions. But there is growing evidence that informal institutions such as, taboos can be extremely effective at promoting wildlife conservation. Ghana is a culturally diverse country where local traditions have shown to improve protection for primates, crocodiles, and many bird species. This study explores the presence of a sea turtle taboo in fishing communities to demonstrate that traditional practices make residents more receptive to sea turtle conservation and more willing to follow government regulations. Fishers in the communities that are aware of the taboo are also more willing to adjust fishing methods to better protect sea turtles. The traditional taboo and national laws appear to be working synergistically to enhance sea turtle conservation in some regions of Ghana. This paper extends the argument that sea turtle conservation strategies succeed when the cultural and social traditions of local communities are integrated with management activities. © 2017 Alexander, Agyekumhene and Allman.",No,No,"The study does not meet the SC, as it does not include any case study of CBFM in a Pacific Island country."," No; The abstract does not mention any Pacific Island country or any CBFM case study.

ReflectionThe SC requires at least one case study of CBFM in a Pacific Island country. The abstract does not mention any Pacific Island country or CBFM.",Yes,"The study explores the presence of a sea turtle taboo in fishing communities and how traditional practices can make residents more receptive to sea turtle conservation, suggesting a focus on fisheries management."," Maybe; The abstract mentions sea turtles, but it is not clear if the study focuses on fisheries management.
ReflectionThe abstract does not mention fisheries management explicitly, but it does discuss the role of local traditions in promoting wildlife conservation, including sea turtles. It is possible that the study includes a focus on fisheries management.",Maybe,"The paper does not explicitly use the term ""community-based management"", but it does suggest that the use of traditional practices may be effective in promoting conservation efforts in local communities, which could be considered a form of community-based management."," Maybe; The use of the term ""community-based sea turtle conservation programs"" suggests that the paper may be relevant to the SC, but further information is needed to determine if it meets the definition of community-based management.
ReflectionThe paper discusses the use of traditional practices in promoting sea turtle conservation and suggests that these practices may make residents more receptive to government regulations. While the paper does not explicitly use the term ""community-based management"", it does suggest that the use of traditional practices may be effective in promoting conservation efforts in local communities. Therefore, it is possible that the paper meets the SC.",No,The paper does not meet the screening criteria as it does not contain any information related to CBFM.," No; The paper is not related to CBFM.
ReflectionThe paper talks about the effectiveness of traditional practices in promoting wildlife conservation. However, it does not mention anything about CBFM.",
81,Politics of marine conservation area in Indonesia: From a centralised to a decentralised system,"This paper aims to analyse the current situation resulting from the Marine Conservation Area (MCA) in Indonesia in terms of the legal framework, institutional conflicts and the response of the local people. A case study of the centralised and decentralised MCA in West Lombok is presented, and the process of establishing the MCA and its institutional performance are reviewed. The performance of centralised system is still questioned because this system marginalises the local people that leads to the rise of conflict and eventually weakens the institution of MCA. Therefore, strengthening decentralised system is necessary to increase the sense of stewardship of the local people over the resources, and to shape a new paradigm of the relationship of poor people-environment and conservation-fisheries, so marginalisation of the local people can be avoided and finally a robust institution can be created. Nevertheless, the case of Awig-awig as a type of community-based coral reef management in Gili Indah shows that decentralised system does not assure achievement of more robust institutional performance. This means that the success of decentralisation is not taken for granted, but there is prerequisite to be considered. At the community level, the prerequisite is a creation of better institutional arrangement including increasing equitability among resource users, a better representation system during process of consensus building and a well-defined property right system. Furthermore, the improvement of legal framework in national level is necessary to create more harmonious legal products related to the marine conservation with emphasis on how to recognise and enhance capacity of the local institution, which may belong to the local government or the local people, in the marine conservation. Thus, community-based management or co-management system can be officially recognised and promoted. In addition, the decentralisation of marine conservation also requires the local governments to have adequate capacity building includes the following aspects: administration skill, political savvy, adaptability and expertise skill. Copyright © 2006 Inderscience Enterprises Ltd.",No,No,The paper does not include a case study of CBFM in a Pacific Island country.," No; The paper does not mention Pacific Island countries or CBFM.
ReflectionThe paper focuses on the Marine Conservation Area in Indonesia and the comparison between centralized and decentralized systems. While it provides insights into the challenges and solutions for marine conservation, it does not meet the SC.",Maybe,"The abstract mentions a case study on fisheries management, but it also discusses broader marine resource management. It is unclear if the focus on fisheries management is sufficient to meet the screening criteria."," Maybe; The abstract refers to broader marine resource management, but it also mentions a case study on fisheries management.

ReflectionThe abstract discusses both broader marine resource management and fisheries management. It is unclear whether the focus on fisheries management is enough to meet the screening criteria.",Maybe,The abstract does not provide enough information to determine whether the decentralised system described is community-based or not.," Maybe; The abstract discusses both centralised and decentralised management, but it is unclear whether the latter is community-based. 
ReflectionThe definition provided for community-based management is ""an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources,"" which suggests that decentralised management may be community-based if it involves giving coastal communities primary responsibility. However, the abstract does not provide enough information to determine whether this is the case.",Maybe,"While the abstract does not explicitly mention CBFM, it discusses the need for decentralization to increase the sense of stewardship of local people over resources, which could be interpreted as a potential benefit of CBFM. However, the abstract does not discuss any barriers to the implementation of CBFM."," Maybe; The abstract discusses the institutional performance of the Marine Conservation Area (MCA) in Indonesia, but it does not explicitly mention benefits or barriers to Community-Based Fisheries Management (CBFM).
ReflectionThe abstract discusses the need for decentralization of the MCA to increase the sense of stewardship of local people over resources and to avoid marginalization of the local people. This could be interpreted as a potential benefit of CBFM. However, the abstract does not discuss CBFM specifically, nor does it mention any barriers to its implementation.",
82,"Environmental awareness and biodiversity conservation among resettled communal farmers in Gwayi Valley Conservation Area, Zimbabwe","This study was conducted in Gwayi Valley Conservation Area in Zimbabwe. The objective was to evaluate the level of environmental awareness raising among rural communities resettled by government in a wildlife conservation area and their behavior and actions towards biodiversity conservation. We selected three communities based on the degree of exposure to environmental awareness campaigns by various government departments and non-governmental organizations. This formed a gradient of exposure to environmental awareness campaigns, ranging from the most accessible and exposed community (Hangano), moderately exposed (Gwayi) through to the least accessible and exposed community (Karna). We used focus group discussions, key informant interviews and structured interviews with 95 respondents in the selected communities from November 2016 to April 2017. Through public awareness raising, a number of conservation groups were established including fire and hunting committees, anti-poaching teams and environmental resource monitors. While these groups were found to be either inactive or less effective in Gwayi and Karna, all were found to be very active and effective in Hangano. Similarly, community behavior and actions that caused biodiversity loss such as indiscriminate cutting of live trees, poaching, streambank cultivation, fishing in rivers with nets and use of sledges were much reduced in Hangano than in Gwayi and Karna. Frequent environmental awareness campaigns played a critical role in promoting biodiversity in Hangano. We conclude that substantial gains can be made in environmental conservation by investing more in public awareness campaigns, particularly in developing countries such as Zimbabwe where financial resources for conservation are scarce. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",No,No,"The study does not meet the screening criteria as it was conducted in Zimbabwe, not a Pacific Island country."," No; The study was conducted in Zimbabwe, which is not a Pacific Island country.
ReflectionThe SC is specific about the need for a case study in a Pacific Island country, while the abstract mentions a study conducted in Zimbabwe.",Maybe,"While the paper does not focus on fisheries or marine resource management, it does mention fishing as an activity that causes biodiversity loss, which could be considered a fisheries-related example."," No; The paper does not mention fisheries or marine resource management.
ReflectionThe paper does not focus on fisheries or marine resource management but rather on environmental awareness and biodiversity conservation in a wildlife conservation area in Zimbabwe. However, the paper does mention fishing as one of the actions that cause biodiversity loss.",Maybe,The abstract does not provide enough information to determine whether the study meets the screening criteria.," Maybe; The abstract mentions government involvement in the resettlement process but doesn't directly mention community-based management.
ReflectionThe abstract does not explicitly state whether the conservation efforts are community-based or not, but it does mention that public awareness campaigns played a critical role in promoting biodiversity in Hangano. It is possible that these campaigns were community-led, but it is not clear from the information provided.",Maybe,"While the paper does not mention CBFM, it is possible that it could contain information on the benefits or barriers to CBFM if it discusses how the awareness campaigns impacted the communities' behavior towards biodiversity conservation."," No; The paper does not mention CBFM, so it is unlikely to contain information on the benefits or barriers to CBFM.
ReflectionThe paper is focused on evaluating the impact of environmental awareness campaigns on rural communities in Zimbabwe, so it may not directly relate to CBFM. However, it is possible that the paper could indirectly touch on the benefits or barriers to CBFM if it discusses how the communities' behavior towards biodiversity conservation changed as a result of the awareness campaigns.",
