,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC4,Bad Parsing - SC2,Bad Parsing - SC3
78,Fisheries resource-use culture in Fiji and its implications,"Fishery exploitation in Fiji involves five discrete sectors: subsistence, artisanal, aquaculture, recreational and industrial. The different sectors vary in nature, characteristics and associated issues. Interesting developments are now taking place as coastal Fijian communities are addressing the ecological problems associated with dwindling resources. The people have initiated various attempts to identify more sustainable ways of using their fishery resources and are incorporating traditional and community-based resource-use methods into contemporary arrangements.",No,No,There is no mention of CBFM in the title or abstract.," No; The abstract does not mention CBFM.

ReflectionThe abstract discusses fishery exploitation in Fiji and the initiatives taken by coastal Fijian communities to address ecological problems associated with dwindling resources. However, there is no mention of CBFM.",Maybe,"While the paper focuses on fisheries resource-use culture, it also includes elements of broader marine resource management with a focus on sustainability."," Yes; The title and abstract specifically mention fisheries resource-use culture in Fiji.

ReflectionThe title and abstract mention multiple sectors of fishery exploitation, including subsistence, artisanal, and industrial fishing, which suggests a focus on fisheries management. However, the mention of ""ecological problems associated with dwindling resources"" and ""sustainable ways of using their fishery resources"" implies a broader marine resource management perspective.",Maybe,More information is needed to determine if the study is related to community-based management.," Maybe; The abstract mentions community-based resource-use methods but does not explicitly state that it is the primary approach to fisheries management.
ReflectionThe abstract suggests that coastal Fijian communities are incorporating traditional and community-based methods into contemporary arrangements but does not provide enough information to determine if it fits the definition of community-based management as specified in the screening criteria.",No,The paper does not meet the screening criteria as it does not contain information on the benefits or barriers to CBFM.," No; The paper is not about CBFM. 

ReflectionCBFM stands for Community-Based Fisheries Management. The paper is about the fishery exploitation in Fiji and how communities are incorporating traditional and community-based resource-use methods into contemporary arrangements.",,,
79,Introduction: Amazon fisheries,"Twelve years ago, a session on aquatic resources was organized during the first várzea conference. The articles presented in this session focused exclusively on fish resources, and analyses were based on only two study areas. The potential of community-based management for sustainable use of aquatic resources dominated the discussions. Twelve years later, the second várzea conference organized a similar session on aquatic resources. Some resemblances between the sessions could be noted, including familiar authors, research areas, and topics. The differences, however, are worth noting, among them the inclusion of floodplain resources other than fish. Community-based management again dominated the discussion but the second conference featured more critical analysis of its potential and limitations since after years of practical experience, several initiatives are evaluated. In general the chapters in this section show that significant progress in theory, methods, and practice was achieved in the last decade. Several issues remain to be better explored, including monitoring problems, and the availability of very limited data on co-management processes for making policy decisions. Scale also remains an issue, as do a series of land tenure issues. © Springer Science+Business Media B.V. 2011. All rights reserved.",No,No,The paper does not meet the SC as it does not include any case study of CBFM in a Pacific Island country.," No; The paper does not mention any Pacific Island country or case study of CBFM.
ReflectionThe SC requires the study to have a specific focus on CBFM in a Pacific Island country while this abstract is about the progress made in the last decade in community-based management of aquatic resources.",Yes,"While the abstract mentions floodplain resources, it still includes a focus on fisheries management and community-based management."," Maybe; The abstract mentions fish resources but also refers to floodplain resources.

ReflectionThe abstract mentions that the first conference's articles focused exclusively on fish resources, while the second conference included floodplain resources. However, it also states that community-based management dominated the discussions at both conferences, which suggests a continued focus on fisheries management.",Maybe,The abstract does not provide enough information to determine whether the study meets the criteria for community-based management.," Maybe; The abstract mentions community-based management but does not provide enough information to determine whether the study meets the criteria.

ReflectionThe abstract mentions community-based management as dominating the discussion, but it does not provide any definition or details on the approach used in the study. Therefore, it is uncertain whether the study meets the criteria.",No,The abstract does not meet the screening criteria as it does not provide any information on the benefits or barriers to CBFM.," No; The abstract does not provide any information on the benefits or barriers to Community Based Fisheries Management (CBFM).
ReflectionThe abstract does not mention anything about CBFM or its benefits or barriers. Therefore, it does not meet the screening criteria.",,,
80,The role of taboos in the protection and recovery of sea turtles,"Despite increased efforts from government agencies, scientists, and non-government organizations over the past few decades, anthropogenic sources of sea turtle mortality continue to threaten the survivorship of sea turtle species around the globe. More recent efforts to engage local people with community-based sea turtle conservation programs have been based primarily on economic incentives and less on cultural and social traditions. But there is growing evidence that informal institutions such as, taboos can be extremely effective at promoting wildlife conservation. Ghana is a culturally diverse country where local traditions have shown to improve protection for primates, crocodiles, and many bird species. This study explores the presence of a sea turtle taboo in fishing communities to demonstrate that traditional practices make residents more receptive to sea turtle conservation and more willing to follow government regulations. Fishers in the communities that are aware of the taboo are also more willing to adjust fishing methods to better protect sea turtles. The traditional taboo and national laws appear to be working synergistically to enhance sea turtle conservation in some regions of Ghana. This paper extends the argument that sea turtle conservation strategies succeed when the cultural and social traditions of local communities are integrated with management activities. © 2017 Alexander, Agyekumhene and Allman.",No,No,The paper does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The study is focused on sea turtle conservation in Ghana and does not mention any Pacific Island country.

ReflectionThe SC requires the study to have a case study of CBFM in a Pacific Island country, but the paper is focused on sea turtle conservation in Ghana.",Maybe,"While the abstract does mention the presence of a sea turtle taboo in fishing communities and its effect on fishing practices, the focus is primarily on the role of traditional practices in promoting sea turtle conservation, which may not be directly related to fisheries management."," Maybe; The abstract mentions sea turtle conservation in fishing communities, but it is not clear if the focus is on fisheries management.
ReflectionThe abstract mentions the presence of a sea turtle taboo in fishing communities and how it affects fishing practices, which could be considered as a component of fisheries management. However, the abstract primarily emphasizes the role of traditional practices in promoting sea turtle conservation, which may not necessarily be related to fisheries management.",No,The abstract does not provide enough information to determine if the study meets the criteria for community-based management as described in the SC.," Maybe; The abstract mentions community-based sea turtle conservation programs but does not provide enough information to determine if it meets the definition of community-based management as described in the SC.
ReflectionThe abstract mentions community-based conservation programs but does not provide any information on who has primary responsibility for managing coastal resources.",No,This paper does not meet the Screening Criteria for CBFM.," No; The paper is not likely to contain information on either the benefits of CBFM or barriers to CBFM, as it mainly focuses on the role of taboos in sea turtle conservation. 
ReflectionThe paper is not relevant to the Screening Criteria of CBFM.",,,
81,Politics of marine conservation area in Indonesia: From a centralised to a decentralised system,"This paper aims to analyse the current situation resulting from the Marine Conservation Area (MCA) in Indonesia in terms of the legal framework, institutional conflicts and the response of the local people. A case study of the centralised and decentralised MCA in West Lombok is presented, and the process of establishing the MCA and its institutional performance are reviewed. The performance of centralised system is still questioned because this system marginalises the local people that leads to the rise of conflict and eventually weakens the institution of MCA. Therefore, strengthening decentralised system is necessary to increase the sense of stewardship of the local people over the resources, and to shape a new paradigm of the relationship of poor people-environment and conservation-fisheries, so marginalisation of the local people can be avoided and finally a robust institution can be created. Nevertheless, the case of Awig-awig as a type of community-based coral reef management in Gili Indah shows that decentralised system does not assure achievement of more robust institutional performance. This means that the success of decentralisation is not taken for granted, but there is prerequisite to be considered. At the community level, the prerequisite is a creation of better institutional arrangement including increasing equitability among resource users, a better representation system during process of consensus building and a well-defined property right system. Furthermore, the improvement of legal framework in national level is necessary to create more harmonious legal products related to the marine conservation with emphasis on how to recognise and enhance capacity of the local institution, which may belong to the local government or the local people, in the marine conservation. Thus, community-based management or co-management system can be officially recognised and promoted. In addition, the decentralisation of marine conservation also requires the local governments to have adequate capacity building includes the following aspects: administration skill, political savvy, adaptability and expertise skill. Copyright © 2006 Inderscience Enterprises Ltd.",No,No,The paper does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The paper does not mention any Pacific Island country.
ReflectionThe paper discusses the Marine Conservation Area (MCA) in Indonesia, which is not a Pacific Island country. However, the paper does present a case study of centralised and decentralised MCA in West Lombok.",Maybe,"Although the paper's primary focus is not on fisheries management, it does mention fisheries as part of the broader marine conservation framework. However, the paper may not be entirely relevant to the screening criteria."," Maybe; The abstract mentions fisheries management as part of a broader marine conservation area.

ReflectionThe abstract mentions the Marine Conservation Area (MCA) in Indonesia and its impact on fisheries management. However, the focus of the paper is on the legal framework and institutional conflicts of the MCA, with only one case study mentioning fisheries management.",Maybe,"While the abstract mentions characteristics of community-based management, it also includes the need for government involvement in improving the legal framework. The focus is not solely on community-based management, but it is not a clear exclusion either."," Maybe; the abstract discusses both centralised and decentralised systems of marine conservation area management, but it is unclear whether the focus is solely on community-based management.
ReflectionThe abstract mentions the need to increase the sense of stewardship of local people over resources and to create a better institutional arrangement that includes increasing equitability among resource users and a well-defined property right system. These are characteristics of community-based management. However, the abstract also mentions the need to improve the legal framework at the national level, which may involve government-based management. Co-management is mentioned as a type of approach but not in the context of equal power between government and community.",Maybe,"The paper mentions the barriers to CBFM, but it's not the main focus of the paper."," Maybe; The abstract mentions the barriers to CBFM, but it's not the main focus of the paper.
ReflectionThe paper discusses the barriers to the decentralised system in the case of MCA in West Lombok and the prerequisites for its success at the community level. However, the main focus of the paper is the analysis of the legal framework, institutional conflicts, and response of local people to the MCA in Indonesia.",,,
82,"Environmental awareness and biodiversity conservation among resettled communal farmers in Gwayi Valley Conservation Area, Zimbabwe","This study was conducted in Gwayi Valley Conservation Area in Zimbabwe. The objective was to evaluate the level of environmental awareness raising among rural communities resettled by government in a wildlife conservation area and their behavior and actions towards biodiversity conservation. We selected three communities based on the degree of exposure to environmental awareness campaigns by various government departments and non-governmental organizations. This formed a gradient of exposure to environmental awareness campaigns, ranging from the most accessible and exposed community (Hangano), moderately exposed (Gwayi) through to the least accessible and exposed community (Karna). We used focus group discussions, key informant interviews and structured interviews with 95 respondents in the selected communities from November 2016 to April 2017. Through public awareness raising, a number of conservation groups were established including fire and hunting committees, anti-poaching teams and environmental resource monitors. While these groups were found to be either inactive or less effective in Gwayi and Karna, all were found to be very active and effective in Hangano. Similarly, community behavior and actions that caused biodiversity loss such as indiscriminate cutting of live trees, poaching, streambank cultivation, fishing in rivers with nets and use of sledges were much reduced in Hangano than in Gwayi and Karna. Frequent environmental awareness campaigns played a critical role in promoting biodiversity in Hangano. We conclude that substantial gains can be made in environmental conservation by investing more in public awareness campaigns, particularly in developing countries such as Zimbabwe where financial resources for conservation are scarce. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",No,No,The paper does not meet the SC as it is not related to Pacific Island countries.," No; The study was conducted in Zimbabwe, which is not a Pacific Island country.

ReflectionThe SC requires that the study must include at least one case study of CBFM in a Pacific Island country. The given paper is not related to Pacific Island countries at all.",No,The paper does not meet the screening criteria as it does not include any fisheries related examples or a focus on fisheries management.," No; There is no mention of fisheries in the title or abstract.
ReflectionThe study does not seem to be focused on fisheries management, but rather on environmental awareness and biodiversity conservation in a wildlife conservation area.",Yes,The establishment of community conservation groups and the positive impact of public awareness campaigns on conservation efforts align with the definition of community-based management provided in the screening criteria.," Maybe; The abstract does not explicitly mention community-based management, but it does discuss the establishment of community conservation groups and the role of public awareness campaigns in promoting biodiversity conservation.
ReflectionWhile the abstract does not use the term ""community-based management,"" it does describe the establishment of community conservation groups and the positive impact of public awareness campaigns on conservation efforts. These elements align with the definition of community-based management provided in the screening criteria.",Maybe,"The abstract does not directly state whether the paper meets the screening criteria, but it is possible that there may be relevant information on the benefits or barriers to CBFM within the context of public awareness campaigns for biodiversity conservation."," Maybe; The abstract mentions community behavior and actions towards biodiversity conservation, but it is not clear if there will be information on the benefits of CBFM or barriers to it. 
ReflectionThe abstract does not explicitly mention CBFM, but it does mention the role of public awareness campaigns in promoting biodiversity conservation. It is possible that there may be information on the benefits or barriers to CBFM within the context of these campaigns.",,,
83,"Institutional restructuring of fisheries management system for humphead wrasse (Cheilinus undulatus R PPELL 1835) in Anambas and Natuna, Riau Archipelago Province, Indonesia","This policy analysis paper revisits the existing traditional institutions concerned with Humphead wrasse management in Anambas and Natuna, Riau Archipelago Province. It provides an analysis and synthesis of policies that could give direction to the formation and/or strengthening of existing institutions for the benefit of this endangered fish species and all concerned parties. Local community's active involvement and participation is key to the sustainable development of fisheries resources. However, the local community's economic empowerment would be impossible to achieve without institutional strengthening. The paper recommends that community-based institutional empowerment or the ""group approach""should be considered in Anambas and Natuna's fisheries management system for Humphead wrasse. Organized fishing communities can be effective government partners in the management of open fishing areas in their jurisdictions. Fishing communities also have a vision, mission or resource management strategy specific to their own needs, values and aspirations. Defining and articulating the community's vision, mission and values are therefore crucial to the success of any community initiatives concerning fisheries revitalization programs. The paper also proposes a logical plan for Community-Based Coastal Resource Management (CBCRM) system for consideration of the local government units in Anambas and Natuna. © Published under licence by IOP Publishing Ltd.",No,No,The paper does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The title and abstract focus on fisheries management in Indonesia, not a Pacific Island country.
ReflectionThe SC specifies a Pacific Island country, which does not appear to be addressed in the title and abstract.",Yes,"The abstract mentions the Humphead wrasse, fisheries management, and fisheries resources, which meets the screening criteria."," Yes; The abstract mentions fisheries management and the sustainable development of fisheries resources.

ReflectionThe abstract mentions the Humphead wrasse, which is a fish species. The mention of ""fisheries resources"" and ""fisheries management system"" also suggest a focus on fisheries.",Maybe,"While the abstract suggests the paper may meet the criteria, it does not provide enough information to confirm whether the study is solely focused on community-based management."," Maybe; The abstract mentions ""community-based institutional empowerment"" and ""Community-Based Coastal Resource Management (CBCRM) system"" but does not provide enough information to determine if the study meets the criteria.
ReflectionThe abstract suggests that the paper may meet the criteria by proposing community-based institutional empowerment and a CBCRM system. However, it does not provide enough information to determine if the study is solely focused on community-based management.",No,"While the abstract mentions benefits of institutional restructuring, it does not explicitly mention CBFM or any barriers to its implementation, therefore it does not meet the SC."," Maybe; The abstract mentions the benefits of institutional restructuring for the benefit of an endangered fish species and all concerned parties.
ReflectionThe SC asks for studies that contain information on the benefits of CBFM or barriers to CBFM. While the abstract mentions benefits of institutional restructuring, it does not explicitly mention CBFM or any barriers to its implementation.",,,
84,"Questioning community based coral reef management systems: Case study of awig-awig in Gili Indah, Indonesia","Issues and complexities arising when the fisheries and marine tourism sectors have stakes in an institution governing the coral reefs ecosystem called awig-awig are discussed, awig-awig is a colloquialism meaning 'a local rule'. The community-based management system is commonly recognized as a better approach to governing resources, however, the success of awig-awig in the study area is questionable. Awig-awig fails to deal with the conflict of interest among stakeholders in coastal resource appropriation, despite the community being relatively culturally homogenous. The benefits of awig-awig are biased in favor of the tourism as opposed to fisheries, leading to the fishers' resistance of awig-awig. There are critical factors to this weakness: a crisis of legitimacy within community, socio-economic inequality among actors involved in such system, high intervention from external agencies, and the institutional conflict over conservation policy. In addition, awig-awig reduces community spirit as it is perceived as not being attached to any customary law or traditional norms. Group cohesion is challenged and there is no common understanding of the problem or alternatives strategies. © Springer 2006.",No,No,"The study is conducted in Indonesia, not a Pacific Island country."," No; The study is about a community-based management system in Indonesia, which is not a Pacific Island country.
ReflectionThe SC specifies that the study must be conducted in a Pacific Island country, while the study in the given Title and Abstract is conducted in Indonesia, which is not a Pacific Island country.",Yes,"Although the study is focused on a broader marine resource management topic, it includes a focus on fisheries management through the discussion of the conflict of interest between the tourism and fisheries sectors."," Maybe; The abstract mentions fisheries management, but it is not the main focus of the study.
ReflectionThe abstract discusses the governance of coral reefs, which is a broader topic than just fisheries management. However, it does mention the conflict of interest between the tourism and fisheries sectors, which is related to fisheries management.",Maybe,"The paper discusses a community-based management system called awig-awig, but it is unclear whether it meets the definition provided in the SC as the paper does not use the term ""CBM/CBFM""."," Maybe; The abstract discusses a community-based management system, but it is not clear whether it meets the definition provided in the SC.
ReflectionThe abstract mentions a community-based management system, but it is unclear whether it meets the definition provided in the SC as the paper does not use the term ""CBM/CBFM"". The paper discusses a local rule called awig-awig, which may or may not fit the definition provided in the SC.",No,The paper does not meet the screening criteria as it does not address CBFM.," No; The paper does not address CBFM, but rather discusses a community-based management system for coral reefs in Indonesia.
ReflectionThe paper does not meet the screening criteria as it does not focus on CBFM.",,,
85,Releases of cultured sub-adult Trochus niloticus generate broodstock for fishery replenishment in Vanuatu,"The over-fished topshell Trochus niloticus ('trochus') was cultured in Vanuatu and grown to sub-adult size (∼40mm) in sea cages. We released 200 of these trochus at each of five reef sites managed through Customary Marine Tenure (CMT) to test the utility of this approach for restocking. The trochus were individually tagged, measured and placed into crevices behind the reef crest. Searches at the sites after 6 months yielded conservative recapture estimates of 36-47% of tagged individuals at sites. Average growth rates were >2.3mm per month, allowing the trochus to reach shell sizes of 50-60mm, known to be the onset of sexual maturity. Small, yet significant differences in growth rates between release sites (P<0.001) suggest that this restocking approach could be optimised if the ecological correlates to growth rates are identified. Under community-based management through CMT, release of sub-adult trochus can be a successful, final step in promoting hatchery-produced juveniles to maturity to allow natural restocking of different types of depleted reefs. © 2003 Elsevier B.V. All rights reserved.",Yes,Maybe,"The abstract mentions a study conducted in Vanuatu, a Pacific Island country. While the study does not explicitly mention CBFM, it does involve the use of Customary Marine Tenure (CMT), which is a form of community-based management. However, it is not clear whether the study involves the active participation of local communities in the management of the trochus fishery, which is a key component of CBFM."," Maybe; The abstract mentions a study conducted in Vanuatu, which is a Pacific Island country. However, it is not clear whether the study includes CBFM or not.

ReflectionThe SC requires that the study includes CBFM in a Pacific Island country. CBFM stands for Community-Based Fisheries Management, which is a system of resource management that involves the participation of local communities. The abstract does not explicitly mention CBFM, but it does mention Customary Marine Tenure (CMT), which is a form of community-based management. It is not clear, however, whether the study involves the active participation of local communities in the management of the trochus fishery.",Yes,The paper focuses on restocking a shellfish that is important to fisheries management in Vanuatu.," Yes; The paper discusses the restocking of a fishery resource, Trochus niloticus.

ReflectionThe paper discusses the restocking of a marine resource, Trochus niloticus, which is a type of shellfish. While not a fish, it is a resource that is important to fisheries management in Vanuatu.",Maybe,It is unclear whether the management approach is community-based or government-based.," Maybe; The abstract does not clearly mention whether the management approach is community-based or government-based.
ReflectionThe abstract mentions Customary Marine Tenure (CMT) which could be interpreted as a form of community-based management. However, it is not clear whether the CMT approach involves equal power between the government and the community to manage the resources.",Maybe,"The paper does not mention CBFM explicitly, but the restocking program it describes could be seen as a potential benefit to CBFM."," No; The paper does not seem to contain information about CBFM.
ReflectionThe paper is about restocking the Trochus niloticus in Vanuatu. While it doesn't mention CBFM, it could be argued that restocking programs contribute to the sustainability of the fishery, which is a key aspect of CBFM.",,,
86,"Involvement of community in managing coastal Wetlands in South Asia: Status, issues and challenges","The development and population pressures on the coastal states of South Asia have significant impact on their coastal resources. As a large number of coastal communities are highly dependent on the coastal resources, the decline in resources affects their livelihoods. To manage the coastal resources effectively from further damage, a community-oriented mode of resource management is highly recommended, as it imparts the sense of stewardship and accountability in extraction and use of the resources. The community participation in ecosystem conservation and management has been implemented in South Asia through various enabling policies, regulatory frameworks and community practices. Conservation through involvement of people has not only yielded benefits to coastal environment and resources but also helped people to gain food security and income through tourism. This chapter discusses about various international and national policies and legal frameworks, which provide support for community-based resource management and empower the people of the local community in designing and implementing coastal resource conservation and management plans. © Springer (India) Pvt. Ltd. 2017.",No,No,The abstract does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The abstract discusses community-based resource management, but there is no mention of a case study in a Pacific Island country.
ReflectionThe screening criteria require that the study must include a case study of CBFM in a Pacific Island country. The abstract does not mention any case study, and there is no indication that the study was conducted in a Pacific Island country.",No,The title and abstract do not focus on fisheries management.," No; The title and abstract do not mention fisheries.

ReflectionThe SC requires studies with fisheries related examples, but also allows broader marine resource management if fisheries management is still a focus. The abstract discusses coastal resource management, but does not specifically mention fisheries.",Maybe,"The abstract suggests that the paper may be relevant to community-based management, but without further information it is unclear whether it meets the screening criteria."," Maybe; The abstract mentions ""a community-oriented mode of resource management"" and ""conservation through involvement of people"", but it is not clear if the paper specifically focuses on community-based management.
ReflectionThe abstract mentions ""empower[ing] the people of the local community in designing and implementing coastal resource conservation and management plans"", which suggests a community-based approach. However, without further information it is unclear whether the paper specifically focuses on community-based management.",No,The paper does not meet the screening criteria as it does not contain information on the benefits or barriers of CBFM.," No; The title and abstract do not mention CBFM or its benefits or barriers. 
ReflectionCBFM is not mentioned in the title and abstract, which indicates that the paper may not meet the screening criteria.",,,
87,Cultural influences on safety and health education among Vietnamese fishermen,"Every ethnic group has its own cultural background and history that influences how it views health behaviors. By virtue of their work history, many Vietnamese have pursued the fishing industry when migrating to the United States. Even though the fishing trades are among the most dangerous jobs in the world, there has been little attention in the literature to the significant role that culture plays in the expression and experience of occupational health practices among Vietnamese shrimp fishermen. Three focus group sessions were conducted to identify factors that hinder or facilitate receptivity to available training and to guide culturally appropriate content. Participants were recruited using purposive sampling among various Vietnamese shrimp fishermen communities in Texas. Utilizing a series of open-ended questions, sessions were conducted in their native language among owners/ captains/deckhands; support infrastructure-adult family members and religious/community leaders; and industry management and insurance representatives. Translations of transcribed documents were compared with simultaneous translations to ensure thematic consistency. Conducting hands-on training among Vietnamese by experienced fishermen, specifically targeting captains, was considered key to safety culture on the vessels. Findings of the study support that training should occur in a variety of formats (hands-on), but should be periodic, current, practical, convenient, taught in the primarylanguage of the audience by an experienced individual, culminate in a certificate of completion, and target captains first. These findings illustrate the importance of considering cultural factors in the design of workplace interventions that focus on changes in safety and occupational health behaviors. © Taylor & Francis Group, LLC.",No,No,The paper does not meet the SC as it does not include any case study of CBFM in a Pacific Island country.," No; The paper does not include any mention of CBFM or Pacific Island countries.
ReflectionThe study focuses on cultural influences on safety and health education among Vietnamese fishermen in Texas, USA. It does not mention any Pacific Island country or CBFM.",Yes,"The paper focuses on the safety and health education of Vietnamese shrimp fishermen, who are part of the fishing industry, and therefore meets the screening criteria."," Maybe; The paper does not explicitly mention fisheries management but does focus on the safety and health education of Vietnamese shrimp fishermen.
ReflectionThe paper may not be directly related to fisheries management, but it does focus on an important aspect of the fishing industry, which is the safety and health of the fishermen who work in it.",No,The paper does not meet the community-based management screening criteria.," No; There is no mention of community-based management, government-based management, or co-management in the title or abstract.
ReflectionThe paper does not address any aspect of fisheries management, let alone community-based management.",Maybe,"While the paper does not explicitly focus on CBFM, it does discuss barriers to occupational health practices which could be relevant to CBFM. Additionally, the study emphasizes the importance of considering cultural factors, which could either facilitate or hinder the implementation of CBFM."," Maybe; The abstract mentions barriers to occupational health practices and the importance of considering cultural factors. 

ReflectionThe paper does not specifically mention CBFM, but it does discuss barriers to occupational health practices which could be related to CBFM. The study also highlights the importance of considering cultural factors, which could be a benefit or a barrier to CBFM.",,,
88,Climate variability and massive mortalities challenge giant clam conservation and management efforts in French Polynesia atolls,"In 2004, the first no-take area (NTA) dedicated to the conservation of giant clams Tridacna maxima was implemented in Tatakoto Atoll, French Polynesia. This NTA protected a unique area worldwide, with extraordinarily high giant clam densities (up to 337 individuals per m2 on 20-m transect). In 2012, a stock assessment survey revealed a dramatic decrease of the clam population. The reduced densities peaked at 38indm-2 and the stock in the NTA decreased from 20.1±6.0million to 1.9±0.55million clams (mean±95% confidence interval). Losses of similar proportions were observed throughout the atoll. Remarkably, the 83% overall loss of this natural resource used daily for consumption and for exports of clam meat to Tahiti Island went unnoticed by the local population. Field clues, including the size of live juveniles attached to the inside of dead shells, pointed to a massive mortality occurring about 3years before the 2012 survey. Examinations of sea surface temperature satellite data identified a high range of temperature variations before March 2009. In agreement with past and recent events in other atolls, this anomaly is the most likely explanation of the massive loss of giant clams in Tatakoto Atoll, although the exact hydrological and biological secondary mechanisms that occurred in the lagoon remain unclear. The consequences of the massive die-off inside and outside the NTA require new long-term management strategies, by reinforcing the top-down national giant clam management arrangements and by setting flexible management objectives across a network of islands. © 2013 Elsevier Ltd.",No,No,The study does not include a case study of CBFM in a Pacific Island country.," No; The abstract mentions the conservation and management of giant clams in French Polynesia but does not mention community-based or co-management approaches.
ReflectionThe Screening Criteria is looking for a specific type of case study related to community-based forest management (CBFM) in the Pacific Islands. This study seems to be focused on the conservation and management of giant clams, which is not necessarily related to CBFM.",Yes,"The paper discusses the conservation and management efforts for a marine resource that is used for consumption and export, which could fall under the broader category of marine resource management that includes a focus on fisheries management."," Maybe; The paper does not explicitly mention fisheries management, but it does discuss the conservation efforts for a marine resource that is used for consumption and export.

ReflectionThe paper does not mention fisheries management explicitly, but it does discuss the conservation and management efforts for a marine resource that is used for consumption and export, which could fall under the broader category of marine resource management.",No,The paper does not meet the screening criteria as it does not focus on community-based management.," No; The abstract does not mention anything about community-based management.
ReflectionThe paper does not seem to focus on community-based management or mention it in any way.",Maybe,"While the paper does not explicitly discuss CBFM, the topic of natural resource management could potentially be relevant to barriers to CBFM."," No; The paper does not discuss CBFM.
ReflectionThe paper does not discuss CBFM, but it does concern the conservation and management of a natural resource, which could be related to barriers to CBFM.",,,
