,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC2,Bad Parsing - SC3
76,A Review of Factors Influencing the Seagrass-Sea Cucumber Association in Tropical Seagrass Meadows,"In the tropical ecosystem, sea cucumbers are associated with seagrass meadows in various ways, often forming a network of ecological interactions. From this myriad of interactions, the trophic relationship between the seagrasses and sea cucumbers has received recent attention with the advent of analytical techniques. However, little is understood about the exact mechanism by which seagrasses are sustaining the sea cucumber populations in the food chain, considering the high number of refractory components in seagrasses and the lack of digestive enzymes among sea cucumbers. This manuscript aims to review existing concepts in ecology concerning the association between tropical seagrasses and sea cucumbers to provide directions for research and management of this vital resource. We searched literature from electronic databases and identified key concepts concerning sea cucumber and seagrass communities based on geographic distribution, nutrient compositions, seagrass decomposition process, and trophic enrichments in the food chain. A conceptual model was then developed detailing the factors influencing the association between the seagrass meadows and sea cucumbers. Despite the limited published information on the seagrass–sea cucumber association, a synthesis of the current understanding of this topic is provided to address the declining sea cucumber populations in the tropical seagrass meadows. We suggest that the successful restoration of sea cucumber fisheries requires a thorough understanding of the seagrass decomposition process, which is vital to the diet of sea cucumbers. Copyright © 2021 Floren, Hayashizaki, Putchakarn, Tuntiprapas and Prathep.",No,No,The Title and Abstract do not include any case study of CBFM in a Pacific Island country.," No; The Title and Abstract do not mention CBFM or Pacific Island countries. 

ReflectionThe Title and Abstract focus on the association between seagrass meadows and sea cucumbers in tropical ecosystems. There is no mention of CBFM or Pacific Island countries, which do not seem to be the focus of this study.",Yes,"The paper includes a focus on sea cucumber fisheries, which meets the screening criteria."," Maybe; The abstract mentions sea cucumber fisheries, but it is not clear if the paper focuses solely on fisheries management.

ReflectionThe abstract discusses the association between seagrass and sea cucumbers, and how understanding the seagrass decomposition process is vital to the diet of sea cucumbers. While the paper does not solely focus on fisheries management, it does include a focus on sea cucumber fisheries.",Maybe,"While the abstract does not mention any form of management or governance, the topic of seagrass-sea cucumber association could potentially fall under community-based management if the management approach is community-led. However, based on the information provided in the abstract, it is not possible to determine whether this is the case."," Maybe; The abstract does not mention management or governance, but the topic of seagrass-sea cucumber association could potentially fall under community-based management.
ReflectionThe SC asks for studies related to community-based management, which is defined as an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources. The abstract does not mention any form of management or governance, but the topic of seagrass-sea cucumber association could potentially fall under community-based management if the management approach is community-led.",No,The paper does not meet the screening criteria for CBFM.," No; The paper is not related to CBFM at all. 
ReflectionThe paper is on the association between seagrass meadows and sea cucumbers, and has nothing to do with CBFM.",,
77,Recommendations for the management of subsistence fisheries in South Africa,"This paper summarizes recommendations for the management of previously marginalized and neglected subsistence fisheries in South Africa. The recommendations stem from the activities and analyses of a task group appointed by Government and mandated to provide advice about management of the new fishing sector. The following focus areas were identified for attention: planning for implementation; definitions of subsistence fishers and other sectors; assessment and categorization of resources; determination of types of fishing activities; zonation; management systems; training; communication mechanisms; application and allocation procedures; compliance processes; research and monitoring; development of institutional capacity. Subsistence fishers were defined as poor people who personally harvest marine resources as a source of food or to sell them to meet basic needs of food security; they operate on or near to the shore or in estuaries, live in close proximity to the resource, consume or sell the resources locally, use low-technology gear (often as part of a long-standing community-based or cultural practice), and the resources they harvest generate only sufficient returns to meet basic needs of food security. A second group of informal fishers was identified that fishes for profit but cannot be equated to large industrial fisheries, and a new sector was proposed to accommodate these artisanal ""small-scale commercial"" fishers. Resources were classified for use by these different sectors based on accessibility, fishing methods, cash value and sustainability. In all, 12 different categories of subsistence and small-scale commercial fisheries were identified, and a preliminary list of resource species suitable for different fishing sectors is presented. A multi-tiered institutional management structure is recommended, with the national agency (MCM) controlling issues of national concern, and supporting and coordinating the activities of provincial and local structures. The management agents required for effective implementation were identified and include a dedicated national Subsistence Fisheries Management Unit, provincial management agencies that have the capacity to be delegated authority, Regional Fieldworkers, an independent Advisory Group for Subsistence Fisheries Management, local co-management structures, and community monitors responsible for observing and recording fishing activities and catches: Co-management, involving both authorities and users in joint management; is advocated in preference to previous top-down approaches, because of its potential to improve communication and compliance.",No,No,The study does not meet the screening criteria as there is no case study of CBFM in a Pacific Island country.," No; There is no mention of a Pacific Island country or CBFM in the Title or Abstract.

ReflectionThe Title and Abstract focus entirely on subsistence fisheries management in South Africa and do not mention any other specific countries or regions.",Maybe,"The paper mentions both specific fisheries management as well as a broader focus on marine resource management, so it may meet the screening criteria. However, a more thorough examination of the paper is needed to determine if it fully meets the criteria."," Yes; The abstract specifically mentions subsistence fisheries and the management thereof.
ReflectionThe abstract mentions subsistence fisheries, which is a specific type of fisheries management. However, it also mentions a new sector for artisanal ""small-scale commercial"" fishers, which is more broadly focused on marine resource management. Based on this, it seems that the paper may meet the screening criteria, but further examination may be needed.",No,"The paper includes government involvement in the management structure, which contradicts the definition of community-based management provided in the SC."," Maybe; The abstract mentions community-based management but also mentions government-appointed task groups and a multi-tiered institutional management structure.
ReflectionThe abstract mentions community-based management as the preferred approach but also includes government involvement in the management structure. It is unclear whether the community has primary responsibility for managing the coastal resources.",No,The paper does not meet the SC as it does not provide information on the benefits or barriers to CBFM.," No; The paper does not discuss CBFM at all.
ReflectionThe paper is not relevant to the SC as it does not address CBFM in any way.",,
78,Fisheries resource-use culture in Fiji and its implications,"Fishery exploitation in Fiji involves five discrete sectors: subsistence, artisanal, aquaculture, recreational and industrial. The different sectors vary in nature, characteristics and associated issues. Interesting developments are now taking place as coastal Fijian communities are addressing the ecological problems associated with dwindling resources. The people have initiated various attempts to identify more sustainable ways of using their fishery resources and are incorporating traditional and community-based resource-use methods into contemporary arrangements.",No,No,"The abstract does not mention any case study of CBFM, let alone one specific to a Pacific Island country."," No; The abstract does not mention CBFM or any specific case study of it in a Pacific Island country.

ReflectionCBFM stands for Community-Based Fisheries Management, which is a specific approach to managing fisheries that involves collaboration and decision-making among local communities. The SC is asking whether the study includes at least one case study of CBFM specifically in a Pacific Island country.",Yes,"The paper's title and abstract clearly indicate a focus on fisheries resource management in Fiji, meeting the SC."," Yes; The paper's title and abstract specifically mention fisheries resource-use culture in Fiji, indicating that the paper focuses on fisheries management.

ReflectionThe paper's title and abstract highlight the focus on fisheries management in Fiji, which meets the SC. The abstract also mentions the incorporation of traditional and community-based resource-use methods, which indicates a focus on sustainable fisheries management.",Yes,The actions taken by the coastal Fijian communities align with the definition of community-based management provided in the SC.," Maybe; The abstract mentions ""coastal Fijian communities"" addressing ecological problems associated with dwindling resources and incorporating traditional and community-based resource-use methods into contemporary arrangements, but it does not explicitly mention ""community-based management"" as defined in the SC.

ReflectionThe abstract suggests that coastal Fijian communities are taking an active role in managing their fishery resources and incorporating traditional methods into contemporary arrangements. While ""community-based management"" is not explicitly mentioned, the actions taken by the communities seem to align with the definition provided in the SC.",Maybe,"It is unclear from the Abstract whether the paper meets the SC, as there is no clear mention of CBFM."," Maybe; The Abstract mentions the identification of more sustainable ways of using fishery resources, but it is unclear whether this includes information on the benefits of CBFM or barriers to CBFM. 
ReflectionThe SC is looking for studies that contain information on the benefits of CBFM or barriers to CBFM. The Abstract mentions sustainable ways of using fishery resources, but it is unclear whether this includes CBFM or not.",,
79,Introduction: Amazon fisheries,"Twelve years ago, a session on aquatic resources was organized during the first várzea conference. The articles presented in this session focused exclusively on fish resources, and analyses were based on only two study areas. The potential of community-based management for sustainable use of aquatic resources dominated the discussions. Twelve years later, the second várzea conference organized a similar session on aquatic resources. Some resemblances between the sessions could be noted, including familiar authors, research areas, and topics. The differences, however, are worth noting, among them the inclusion of floodplain resources other than fish. Community-based management again dominated the discussion but the second conference featured more critical analysis of its potential and limitations since after years of practical experience, several initiatives are evaluated. In general the chapters in this section show that significant progress in theory, methods, and practice was achieved in the last decade. Several issues remain to be better explored, including monitoring problems, and the availability of very limited data on co-management processes for making policy decisions. Scale also remains an issue, as do a series of land tenure issues. © Springer Science+Business Media B.V. 2011. All rights reserved.",No,No,The title and abstract do not mention CBFM or Pacific Island countries.," No; There is no mention of CBFM or Pacific Island countries in the title or abstract.
ReflectionThe SC is clear and specific. The title and abstract do not seem to meet the criteria.",Maybe,"While the abstract mentions fish resources and community-based management for sustainable use, it also includes floodplain resources other than fish, which may not strictly meet the screening criteria but still includes a focus on fisheries management."," Maybe; The abstract discusses aquatic resources including fish, but also includes floodplain resources other than fish.

ReflectionThe abstract mentions fish resources and community-based management for sustainable use, which implies a focus on fisheries management. However, it also mentions the inclusion of floodplain resources other than fish, which does not strictly meet the screening criteria.",Maybe,"The abstract mentions community-based management as a dominant topic, but it is unclear whether the studies presented in the conference were solely related to it."," Maybe; The abstract mentions community-based management, but it is not clear whether the studies presented in the conference were solely related to it.
ReflectionThe abstract mentions that community-based management dominated the discussions, but it also acknowledges the inclusion of floodplain resources other than fish. It is unclear whether the studies presented in the conference were solely related to community-based management.",No,The abstract does not meet the screening criteria as it does not contain any information on CBFM or any related barriers or benefits.," No; The abstract does not mention anything about CBFM or anything relevant to the screening criteria. 

ReflectionThe abstract does not provide any information on CBFM or any barriers or benefits related to it.",,
80,The role of taboos in the protection and recovery of sea turtles,"Despite increased efforts from government agencies, scientists, and non-government organizations over the past few decades, anthropogenic sources of sea turtle mortality continue to threaten the survivorship of sea turtle species around the globe. More recent efforts to engage local people with community-based sea turtle conservation programs have been based primarily on economic incentives and less on cultural and social traditions. But there is growing evidence that informal institutions such as, taboos can be extremely effective at promoting wildlife conservation. Ghana is a culturally diverse country where local traditions have shown to improve protection for primates, crocodiles, and many bird species. This study explores the presence of a sea turtle taboo in fishing communities to demonstrate that traditional practices make residents more receptive to sea turtle conservation and more willing to follow government regulations. Fishers in the communities that are aware of the taboo are also more willing to adjust fishing methods to better protect sea turtles. The traditional taboo and national laws appear to be working synergistically to enhance sea turtle conservation in some regions of Ghana. This paper extends the argument that sea turtle conservation strategies succeed when the cultural and social traditions of local communities are integrated with management activities. © 2017 Alexander, Agyekumhene and Allman.",No,No,The paper does not meet the SC as it does not include any case study of CBFM in a Pacific Island country.," No; The paper does not mention any Pacific Island country.
ReflectionThe SC specifies that the study must include at least one case study of CBFM in a Pacific Island country. The paper does not mention any Pacific Island country and does not include any case study of CBFM.",Maybe,"While the abstract does not explicitly mention fisheries management or fisheries-related examples, it does focus on sea turtle conservation in fishing communities, which could potentially meet the criteria for including a focus on fisheries management. However, further examination of the full paper is needed to determine if it meets the screening criteria."," Maybe; The abstract mentions sea turtle conservation programs and fishing communities, but it is not clear if the focus is on fisheries management.

ReflectionThe abstract focuses on sea turtle conservation and mentions fishing communities, but it does not explicitly state whether the study includes a focus on fisheries management or fisheries-related examples.",Maybe,The abstract suggests that the study is related to community-based management but further clarification is needed regarding the power dynamics between government and community.," Maybe; The abstract mentions ""local traditions"" and ""management activities"" but does not explicitly mention community-based management or co-management.
ReflectionThe abstract refers to ""local traditions"" and ""management activities"", which could be interpreted as community-based management. However, it is not clear whether there is equal power between government and community to manage, which would fall under the definition of co-management.",No,The paper does not meet the SC as it is not related to CBFM.," No; The paper is not related to CBFM.
ReflectionThe paper is not at all related to CBFM, as it talks about the role of taboos in protecting sea turtles in Ghana.",,
81,Politics of marine conservation area in Indonesia: From a centralised to a decentralised system,"This paper aims to analyse the current situation resulting from the Marine Conservation Area (MCA) in Indonesia in terms of the legal framework, institutional conflicts and the response of the local people. A case study of the centralised and decentralised MCA in West Lombok is presented, and the process of establishing the MCA and its institutional performance are reviewed. The performance of centralised system is still questioned because this system marginalises the local people that leads to the rise of conflict and eventually weakens the institution of MCA. Therefore, strengthening decentralised system is necessary to increase the sense of stewardship of the local people over the resources, and to shape a new paradigm of the relationship of poor people-environment and conservation-fisheries, so marginalisation of the local people can be avoided and finally a robust institution can be created. Nevertheless, the case of Awig-awig as a type of community-based coral reef management in Gili Indah shows that decentralised system does not assure achievement of more robust institutional performance. This means that the success of decentralisation is not taken for granted, but there is prerequisite to be considered. At the community level, the prerequisite is a creation of better institutional arrangement including increasing equitability among resource users, a better representation system during process of consensus building and a well-defined property right system. Furthermore, the improvement of legal framework in national level is necessary to create more harmonious legal products related to the marine conservation with emphasis on how to recognise and enhance capacity of the local institution, which may belong to the local government or the local people, in the marine conservation. Thus, community-based management or co-management system can be officially recognised and promoted. In addition, the decentralisation of marine conservation also requires the local governments to have adequate capacity building includes the following aspects: administration skill, political savvy, adaptability and expertise skill. Copyright © 2006 Inderscience Enterprises Ltd.",No,No,The paper does not meet the screening criterion as it does not include any case study of CBFM in a Pacific Island country.," No; The paper does not mention any Pacific Island country.

ReflectionThe Screening Criterion requires the study to include at least one case study of CBFM in a Pacific Island country. The title and abstract do not mention any Pacific Island countries or CBFM.",No,"While the paper mentions fisheries, the focus is on broader marine conservation and institutional management."," Maybe; The abstract mentions fisheries, but the focus of the paper seems to be on the broader topic of marine conservation.

ReflectionThe abstract mentions fisheries in passing, but it seems that the focus of the paper is on the broader topic of marine conservation, rather than specifically on fisheries management.",Maybe,"While community-based management is mentioned as a solution, it is not the primary focus of the paper."," Maybe; The abstract mentions both centralised and decentralised systems, but it is unclear whether community-based management is the primary focus.
ReflectionThe abstract does mention community-based management as a potential solution to the issues faced by the centralised system. However, the focus is more on the legal framework and institutional conflicts rather than community-based management itself.",Maybe,"The paper discusses barriers to CBFM, but it is not clear if it will include information on CBFM benefits. The focus is on the institutional framework and conflicts in marine conservation in Indonesia, but there may be some relevant information on CBFM."," Maybe; The abstract discusses the barriers to CBFM, but it is not explicitly focused on CBFM benefits. 
ReflectionThe abstract discusses the barriers to CBFM, but it is not clear whether the paper will contain information on the benefits of CBFM. The focus seems to be on the institutional framework and conflicts in marine conservation in Indonesia.",,
82,"Environmental awareness and biodiversity conservation among resettled communal farmers in Gwayi Valley Conservation Area, Zimbabwe","This study was conducted in Gwayi Valley Conservation Area in Zimbabwe. The objective was to evaluate the level of environmental awareness raising among rural communities resettled by government in a wildlife conservation area and their behavior and actions towards biodiversity conservation. We selected three communities based on the degree of exposure to environmental awareness campaigns by various government departments and non-governmental organizations. This formed a gradient of exposure to environmental awareness campaigns, ranging from the most accessible and exposed community (Hangano), moderately exposed (Gwayi) through to the least accessible and exposed community (Karna). We used focus group discussions, key informant interviews and structured interviews with 95 respondents in the selected communities from November 2016 to April 2017. Through public awareness raising, a number of conservation groups were established including fire and hunting committees, anti-poaching teams and environmental resource monitors. While these groups were found to be either inactive or less effective in Gwayi and Karna, all were found to be very active and effective in Hangano. Similarly, community behavior and actions that caused biodiversity loss such as indiscriminate cutting of live trees, poaching, streambank cultivation, fishing in rivers with nets and use of sledges were much reduced in Hangano than in Gwayi and Karna. Frequent environmental awareness campaigns played a critical role in promoting biodiversity in Hangano. We conclude that substantial gains can be made in environmental conservation by investing more in public awareness campaigns, particularly in developing countries such as Zimbabwe where financial resources for conservation are scarce. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",No,No,The study is not relevant to the SC as it is conducted in Zimbabwe and does not include any Pacific Island country case studies.," No; The study was conducted in Zimbabwe, not in a Pacific Island country.

ReflectionThe SC requires a case study of CBFM in a Pacific Island country, which is not reflected in the title or abstract.",Maybe,"While the paper does not specifically mention fisheries, it does focus on biodiversity conservation in rural communities, which could potentially be related to fisheries management."," No; The paper focuses on environmental awareness and biodiversity conservation in rural communities, with no specific mention of fisheries or marine resource management.

ReflectionThe SC is looking for papers that focus on fisheries or broader marine resource management with a specific focus on fisheries management. While this paper does not mention fisheries, it does focus on the conservation of biodiversity in rural communities, which could potentially be related to fisheries management.",Maybe,"While the study does not specifically mention CBM/CBFM, its findings suggest that community-led approaches and public awareness campaigns are important for biodiversity conservation, which are components of CBM/CBFM."," Maybe; The abstract mentions public awareness raising and community-led groups, but does not specifically mention CBM/CBFM.
ReflectionThe study does not explicitly mention CBM/CBFM, but it does mention community-led groups and the importance of public awareness campaigns in promoting biodiversity conservation. These are both components of CBM/CBFM, and the study's findings suggest that investing in public awareness campaigns can lead to positive outcomes for conservation efforts.",No,The paper does not meet the screening criteria as it does not provide information on CBFM.," No; The paper does not mention CBFM or any form of forest management. 

ReflectionThe paper focuses on environmental awareness and biodiversity conservation among rural communities resettled in a wildlife conservation area. It does not mention CBFM, which is the criteria for screening.",,
83,"Institutional restructuring of fisheries management system for humphead wrasse (Cheilinus undulatus R PPELL 1835) in Anambas and Natuna, Riau Archipelago Province, Indonesia","This policy analysis paper revisits the existing traditional institutions concerned with Humphead wrasse management in Anambas and Natuna, Riau Archipelago Province. It provides an analysis and synthesis of policies that could give direction to the formation and/or strengthening of existing institutions for the benefit of this endangered fish species and all concerned parties. Local community's active involvement and participation is key to the sustainable development of fisheries resources. However, the local community's economic empowerment would be impossible to achieve without institutional strengthening. The paper recommends that community-based institutional empowerment or the ""group approach""should be considered in Anambas and Natuna's fisheries management system for Humphead wrasse. Organized fishing communities can be effective government partners in the management of open fishing areas in their jurisdictions. Fishing communities also have a vision, mission or resource management strategy specific to their own needs, values and aspirations. Defining and articulating the community's vision, mission and values are therefore crucial to the success of any community initiatives concerning fisheries revitalization programs. The paper also proposes a logical plan for Community-Based Coastal Resource Management (CBCRM) system for consideration of the local government units in Anambas and Natuna. © Published under licence by IOP Publishing Ltd.",No,No,The study does not meet the SC because it does not include a case study of CBFM in a Pacific Island country.," No; The paper discusses fisheries management in Indonesia, which is not a Pacific Island country.
ReflectionThe SC requires the study to focus on a Pacific Island country, but the paper discusses fisheries management in Indonesia, which is not a Pacific Island country.",Maybe,"While the paper focuses on humphead wrasse fisheries management, it also mentions broader marine resource management approaches such as community-based institutional empowerment and coastal resource management."," Maybe; The title suggests a focus on humphead wrasse fisheries in Indonesia, but the abstract mentions broader marine resource management.

ReflectionThe paper seems to have a primary focus on humphead wrasse fisheries management, but also mentions the importance of community-based institutional empowerment and coastal resource management, which could be interpreted as broader marine resource management.",Yes,"The abstract proposes a community-based management approach for the fisheries management system, which meets the screening criteria."," Maybe; The abstract discusses the importance of community involvement and participation in fisheries management, but it does not explicitly state whether the management approach is community-based or not. 
ReflectionThe abstract mentions ""community-based institutional empowerment"" and proposes a plan for Community-Based Coastal Resource Management (CBCRM) system, which suggests a community-based management approach.",Maybe,"The abstract suggests that the paper may touch on some aspects of CBFM, but it is not clear whether it will specifically address the benefits or barriers of this approach. Further review of the full paper is necessary to determine its eligibility against the screening criteria."," Maybe; The abstract mentions the benefits of involving local communities in fisheries management, but it is not clear whether the paper will specifically address the benefits or barriers of CBFM. 

ReflectionThe abstract suggests that the paper will focus on the institutional restructuring of fisheries management for the benefit of humphead wrasse and local communities. While the paper may touch on some aspects of CBFM, it is not clear whether it will specifically address the benefits or barriers of this approach.",,
84,"Questioning community based coral reef management systems: Case study of awig-awig in Gili Indah, Indonesia","Issues and complexities arising when the fisheries and marine tourism sectors have stakes in an institution governing the coral reefs ecosystem called awig-awig are discussed, awig-awig is a colloquialism meaning 'a local rule'. The community-based management system is commonly recognized as a better approach to governing resources, however, the success of awig-awig in the study area is questionable. Awig-awig fails to deal with the conflict of interest among stakeholders in coastal resource appropriation, despite the community being relatively culturally homogenous. The benefits of awig-awig are biased in favor of the tourism as opposed to fisheries, leading to the fishers' resistance of awig-awig. There are critical factors to this weakness: a crisis of legitimacy within community, socio-economic inequality among actors involved in such system, high intervention from external agencies, and the institutional conflict over conservation policy. In addition, awig-awig reduces community spirit as it is perceived as not being attached to any customary law or traditional norms. Group cohesion is challenged and there is no common understanding of the problem or alternatives strategies. © Springer 2006.",No,No,The study does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The study is not about a Pacific Island country and does not mention CBFM.
ReflectionThe study is about a community-based management system for coral reefs called awig-awig in Indonesia. While it discusses issues and challenges with this system, it does not mention CBFM or a Pacific Island country.",Yes,"The abstract provides a case study of a community-based coral reef management system that includes a focus on fisheries management, despite the broader marine resource management context."," Maybe; The abstract mentions both fisheries and marine tourism sectors, but the focus is on the conflict of interest among stakeholders in coastal resource appropriation.

ReflectionThe abstract provides a case study of a community-based coral reef management system, which is relevant to broader marine resource management. Although the focus is on conflicts among stakeholders, it does provide insight into the challenges of fisheries management.",Maybe,"The paper may meet the screening criteria, but further investigation is needed to determine if it solely focuses on community-based management."," Maybe; The abstract mentions community-based management but also discusses issues with the approach.
ReflectionThe abstract discusses a specific case study of a community-based management system called awig-awig. While the system is community-led, the abstract also highlights issues with conflict of interest and stakeholder inequality. It is unclear whether the paper focuses solely on community-based management or also examines these issues.",Maybe,"While the paper does not explicitly focus on CBFM, it may contain relevant information on the benefits or barriers to this approach. A closer examination of the full paper is needed to determine if it meets the screening criteria."," No; The paper does not seem to be focused on CBFM, but rather on community-based management of coral reefs in Indonesia.
ReflectionThe paper is discussing community-based management of coral reefs and the challenges that arise in this context. While it does not explicitly focus on CBFM, it may contain information on the benefits or barriers to this approach.",,
85,Releases of cultured sub-adult Trochus niloticus generate broodstock for fishery replenishment in Vanuatu,"The over-fished topshell Trochus niloticus ('trochus') was cultured in Vanuatu and grown to sub-adult size (∼40mm) in sea cages. We released 200 of these trochus at each of five reef sites managed through Customary Marine Tenure (CMT) to test the utility of this approach for restocking. The trochus were individually tagged, measured and placed into crevices behind the reef crest. Searches at the sites after 6 months yielded conservative recapture estimates of 36-47% of tagged individuals at sites. Average growth rates were >2.3mm per month, allowing the trochus to reach shell sizes of 50-60mm, known to be the onset of sexual maturity. Small, yet significant differences in growth rates between release sites (P<0.001) suggest that this restocking approach could be optimised if the ecological correlates to growth rates are identified. Under community-based management through CMT, release of sub-adult trochus can be a successful, final step in promoting hatchery-produced juveniles to maturity to allow natural restocking of different types of depleted reefs. © 2003 Elsevier B.V. All rights reserved.",No,No,The paper does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The paper is about restocking Trochus niloticus in Vanuatu, but there is no mention of CBFM or Pacific Island countries.

ReflectionThe SC requires a case study of CBFM in a Pacific Island country, but the abstract does not mention either of these terms. It is focused on the restocking of a specific marine species in Vanuatu.",Maybe,"While the study does not explicitly discuss fisheries management, the restocking approach could have implications for fisheries management and therefore meets the screening criteria."," Maybe; The abstract focuses on restocking of topshell Trochus niloticus, which is a marine resource, but it is unclear whether the paper will discuss fisheries management.

ReflectionThe study focuses on restocking a particular marine resource, but it does not explicitly mention fisheries management. However, it is possible that the restocking approach could be used for fisheries management purposes.",Maybe,The abstract does not provide enough information to determine if the study meets the screening criteria for community-based management.," Maybe; The abstract mentions Customary Marine Tenure (CMT) but does not provide enough information to determine if it is a community-led management approach.
ReflectionCustomary Marine Tenure (CMT) can be community-led, government-led, or a combination of both. However, the abstract does not provide enough information to determine the management approach used for the release of cultured sub-adult Trochus niloticus.",No,There is no information on CBFM in the title and abstract.," No; The paper does not contain information on CBFM in the title and abstract.
ReflectionThe paper is about releasing cultured Trochus niloticus into the sea in Vanuatu. There is no mention of CBFM in the title or abstract.",,
86,"Involvement of community in managing coastal Wetlands in South Asia: Status, issues and challenges","The development and population pressures on the coastal states of South Asia have significant impact on their coastal resources. As a large number of coastal communities are highly dependent on the coastal resources, the decline in resources affects their livelihoods. To manage the coastal resources effectively from further damage, a community-oriented mode of resource management is highly recommended, as it imparts the sense of stewardship and accountability in extraction and use of the resources. The community participation in ecosystem conservation and management has been implemented in South Asia through various enabling policies, regulatory frameworks and community practices. Conservation through involvement of people has not only yielded benefits to coastal environment and resources but also helped people to gain food security and income through tourism. This chapter discusses about various international and national policies and legal frameworks, which provide support for community-based resource management and empower the people of the local community in designing and implementing coastal resource conservation and management plans. © Springer (India) Pvt. Ltd. 2017.",No,No,The study does not meet the SC since it doesn't include any case study in a Pacific Island country.," No; The Title and Abstract do not mention any Pacific Island country.
ReflectionThe Title and Abstract discuss community-based resource management, but it doesn't specifically mention a Pacific Island country.",Maybe,The paper may still include a focus on fisheries management within the broader context of marine resource management. Further examination is needed to determine if fisheries management is mentioned.," No; The paper does not focus on fisheries management, but on community-based resource management.

ReflectionThe paper discusses community-based resource management and its benefits to coastal environments, resources, and livelihoods. While fisheries management is not the main focus, the paper may still include examples of fisheries management within the broader context of marine resource management.",Maybe,It is unclear whether the approach mentioned in the paper aligns with the given definition of community-based management.," Maybe; The abstract mentions community-oriented mode of resource management and community participation in ecosystem conservation and management.

ReflectionThe paper discusses the involvement of community in managing coastal wetlands in South Asia and mentions various policies and legal frameworks that support community-based resource management. However, it is unclear whether the approach mentioned in the paper aligns with the given definition of community-based management.",No,The paper does not meet the screening criteria as it does not contain information on the benefits or barriers to CBFM.," No; The paper does not mention CBFM.
ReflectionThe paper discusses community-oriented resource management, but it does not mention CBFM explicitly. The SC may not have been met.",,
