,Title,Abstract,Accept,Accept - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Rationale - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Thoughts - SC1: The study must include at least one case study of CBFM in a Pacific Island country,Accept - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Rationale - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,Thoughts - SC2: Only studies with fisheries related examples. Papers that refer to broader marine resource management to be included if they still include a focus on fisheries management.,"Accept - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Rationale - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Thoughts - SC3: Only studies related to community-based management (i.e., not government-based management or co-management). The definition of community-based management here is “an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources”. While co-management can include community-led approaches , to minimise reviewer bias and interpretation, please use the language that the authors use in the paper (i.e., if they call it CBM/CBFM, include it. If they refer to it as co-management whereby there is equal power between government and community to manage - don’t include it). ","Accept - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Rationale - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.","Thoughts - SC4: Only studies that are likely to contain either information on the benefits of CBFM, or barriers the to CBFM. Accept the paper if either criteria is met.",Bad Parsing - SC1
73,"Mangrove forests in Sri Lanka: An updated review on distribution, diversity, current state of research and future perspectives","Mangrove forests, which are well known for coastal protection and carbon sequestration, are a very productive ecosystem found in estuarine and coastal areas in tropical and subtropical latitudes. This study reviews the current status of mangrove ecology, management and conservation in Sri Lanka. In 2015, Sri Lanka became the first nation to legally protect all its mangrove forests; hence mangrove management in Sri Lanka may act as an important exemplar for other nations. Mangroves are found sporadically in the coastal area of Sri Lanka, including as a few dense mangrove forests. Mangrove vegetation provides a cost-effective ecosystem-based disaster risk reduction capability in Sri Lanka, particularly in the areas with poor living standards. Mangroves are used for timber, fishing materials, medicine and food in the country. Despite the environmental and socioeconomic importance of mangroves, several threats, including the expansion of aquaculture and agriculture, urbanization, pollution, climate change and sea level rise, exist in Sri Lanka. Many mangrove reforestation and afforestation initiatives in Sri Lanka have not succeeded, often because of the lack of sufficient monitoring of seedlings after the reforestation campaign and poor selection of planting sites without proper assessment of environmental conditions. In order to protect mangrove forests in Sri Lanka, some immediate measures need to be implemented. Proper planting of seedlings, community-based mangrove reforestation, sustainable aquaculture practices and proper legal enforcement are some of the important steps for the conservation of this highly productive ecosystem in the country. © 2023 Elsevier B.V.",No,No,The abstract does not meet the screening criteria of including a case study of CBFM in a Pacific Island country.," No; The abstract does not mention anything related to CBFM in a Pacific Island country.

ReflectionThe abstract focuses on the mangrove forests in Sri Lanka and their management and conservation. It does not seem to contain any information regarding CBFM in Pacific Island countries.",No,"While the paper discusses coastal management and the use of mangroves for fishing materials, it does not have a clear focus on fisheries management and does not provide any specific fisheries examples."," No; The paper focuses on mangrove forests and their conservation, and does not mention fisheries management or examples.

ReflectionThe paper does not meet the SC as it does not focus on fisheries management or provide any examples related to fisheries. However, the SC allows for broader marine resource management papers to be included if they still have a focus on fisheries management.",Maybe,The abstract does not provide enough information to determine if the study meets the screening criteria.," Maybe; The abstract does not provide sufficient information on the management approach.
ReflectionThe abstract primarily focuses on the current state of mangrove ecology and conservation in Sri Lanka, and while it briefly mentions community-based mangrove reforestation, it does not provide enough detail to determine if the study meets the screening criteria.",Maybe,"The abstract does not explicitly mention CBFM, but there is a possibility that the paper may address barriers to CBFM within the context of Sri Lankan mangrove conservation."," Maybe; The abstract does not explicitly mention CBFM, but there is a possibility that barriers to CBFM may be discussed in the context of Sri Lankan mangrove conservation.
ReflectionThe initial response is maybe since the abstract does not directly mention CBFM, but it is possible that the paper may discuss barriers to CBFM in the context of Sri Lankan mangrove conservation.",
74,"Ten years of Inuit co-management: advancing research, resilience, and capacity in Nunatsiavut through fishery governance","Community-based approaches have risen to prominence in fisheries governance as decision makers have recognized the importance of local perspectives, and Indigenous Peoples have pursued their right to self-determination. In Canada, some Indigenous Peoples have pursued a formalized approach to co-management through land claim agreements. The Torngat Joint Fisheries Board (TJFB) is one such co-management arrangement that focuses on fisheries management in Nunatsiavut, a land claim area in northern Labrador, Canada. This research examines how the TJFB’s work contributes to fisheries governance in the region, and subsequently, how co-management is placed in terms of supporting greater self-determination for Indigenous peoples in resource governance. To understand the TJFB’s role, this research examined 12 years of recorded meeting minutes from 2010 to 2021, highlighting the activities in which the TJFB engages, and how those activities have changed over time. Inductive content analysis was used to understand the activities undertaken by the TJFB, highlighting their actions as well as the strengths and weaknesses of the co-management board in practice. The analysis found that the TJFB plays important roles in research, drafting recommendations, and public education, and that their activities support greater participation from fisheries stakeholders. Land claim–based co-management has a significant impact on how Indigenous sovereignty operates and how it will evolve into the future. The TJFB’s efforts to increase research capacity in the region, push focus towards the socio-cultural dimensions of fisheries management, and strengthen the political voice of the region represent an important move toward self-determination in Nunatsiavut’s commercial fisheries. © 2022, The Author(s).",No,No,The study does not meet the SC as it does not include a case study of CBFM in a Pacific Island country.," No; The title and abstract do not mention a Pacific Island country.

ReflectionThe title and abstract focus on fisheries governance in Nunatsiavut, Canada, which is not a Pacific Island country. The paper does not meet the SC.",Maybe,"The abstract primarily focuses on fisheries governance in Nunatsiavut, but also includes mention of broader aspects of resource governance."," Yes; The abstract discusses fisheries governance in Nunatsiavut.

ReflectionThe abstract mentions the Torngat Joint Fisheries Board, which is a co-management arrangement that focuses on fisheries management in Nunatsiavut. However, the abstract also mentions the board's efforts to increase research capacity and focus on the socio-cultural dimensions of fisheries management.",Yes,"The paper focuses on a community-based approach to fisheries management, specifically examining the roles and activities of a community-led co-management board."," Maybe; The paper mentions co-management, but it also focuses on a specific community-based approach.
ReflectionThe paper discusses a co-management arrangement, but it also analyzes how it contributes to fisheries governance in a specific community. The definition of community-based management given in the SC is ""an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources."" The paper seems to focus on the role of a community-led board in fisheries governance, which aligns with the definition of community-based management.",No,The paper does not meet the screening criteria as it does not provide any information on the benefits or barriers of CBFM.," No; The paper does not provide any information related to the benefits or barriers of Community-Based Fisheries Management (CBFM).
ReflectionThe paper does not meet the screening criteria because it does not provide any information related to the benefits or barriers of CBFM. The paper focuses on examining the role of the Torngat Joint Fisheries Board in fisheries governance in Nunatsiavut, Canada, and its impact on Indigenous sovereignty.",
75,Improving Adherence to Mediterranean-Style Diet with a Community Culinary Coaching Program: Methodology Development and Process Evaluation,"The Community Culinary Coaching Program is a community-based participatory program aimed at improving communal settlement residents' nutrition. The residents, central kitchens, preschools, and communal dining rooms were identified as areas for intervention. Evaluation included goals accomplishment assessed by food purchases by the central kitchens, and residents' feedback through focus groups. Purchasing included more vegetables (mean (standard error) percent change), (+7% (4); P =.32), fish (+115% (11); P <.001), whole grains, and legumes (+77% (9); P <.001); and less soup powders (-40% (9); P <.05), processed beef (-55% (8); P <.001), and margarine (-100% (4); P <.001). Residents recommended continuing the program beyond the project duration. This model might be useful in organizations with communal dining facilities. © 2018 Wolters Kluwer Health, Inc.",No,No,The paper does not include any case study of CBFM in a Pacific Island country.," No; The paper does not mention any case study of CBFM in a Pacific Island country.
ReflectionThe paper focuses on a community culinary coaching program and aims to improve communal settlement residents' nutrition. It does not appear to include any case study related to CBFM in Pacific Island countries.",No,The study is not related to fisheries or marine resource management.," No; The title and abstract do not mention anything related to fisheries management or marine resources.
ReflectionThe title and abstract do not mention anything about fisheries management or marine resources. Although the study addresses nutrition and communal settlement residents' food purchases, there is no direct connection to fisheries or marine resource management.",No,The paper is not related to community-based management as defined in the SC.," No; The paper is not related to fisheries management or coastal resources.
ReflectionThe SC is very specific to fisheries management and coastal resources, which are not mentioned in the title and abstract.",No,The paper does not meet the screening criteria as it does not contain information on the benefits of CBFM or barriers to CBFM.," No; The paper is focused on improving communal settlement residents' nutrition with no mention of CBFM.
ReflectionCBFM refers to Community-Based Food and Nutrition Programs that aim to improve the health and wellbeing of communities. While the paper is focused on improving the nutrition of communal settlement residents, it does not mention CBFM.",
76,A Review of Factors Influencing the Seagrass-Sea Cucumber Association in Tropical Seagrass Meadows,"In the tropical ecosystem, sea cucumbers are associated with seagrass meadows in various ways, often forming a network of ecological interactions. From this myriad of interactions, the trophic relationship between the seagrasses and sea cucumbers has received recent attention with the advent of analytical techniques. However, little is understood about the exact mechanism by which seagrasses are sustaining the sea cucumber populations in the food chain, considering the high number of refractory components in seagrasses and the lack of digestive enzymes among sea cucumbers. This manuscript aims to review existing concepts in ecology concerning the association between tropical seagrasses and sea cucumbers to provide directions for research and management of this vital resource. We searched literature from electronic databases and identified key concepts concerning sea cucumber and seagrass communities based on geographic distribution, nutrient compositions, seagrass decomposition process, and trophic enrichments in the food chain. A conceptual model was then developed detailing the factors influencing the association between the seagrass meadows and sea cucumbers. Despite the limited published information on the seagrass–sea cucumber association, a synthesis of the current understanding of this topic is provided to address the declining sea cucumber populations in the tropical seagrass meadows. We suggest that the successful restoration of sea cucumber fisheries requires a thorough understanding of the seagrass decomposition process, which is vital to the diet of sea cucumbers. Copyright © 2021 Floren, Hayashizaki, Putchakarn, Tuntiprapas and Prathep.",No,No,"The paper does not meet the SC as it does not include any case studies of CBFM in Pacific Island countries, or mention CBFM at all."," No; The paper is focused on the association between sea cucumbers and seagrass meadows, and does not mention CBFM or Pacific Island countries.
ReflectionThe paper does not meet the SC as it does not include any case studies of CBFM in Pacific Island countries, or mention CBFM at all.",Maybe,"While the paper does not have a direct focus on fisheries management, it does touch on the topic and provides important information for the management of sea cucumber fisheries."," Maybe; The abstract mentions sea cucumber fisheries, but it is unclear whether the focus of the paper is on fisheries management.

ReflectionThe abstract discusses the association between sea cucumbers and seagrass meadows, and how this association can impact sea cucumber populations. While the paper does not explicitly focus on fisheries management, it does discuss the importance of understanding the seagrass decomposition process for the successful restoration of sea cucumber fisheries.",Maybe,"The paper does not mention any management approaches, so it is unclear whether it meets the screening criteria."," Maybe; The paper does not mention any management approaches, so it is difficult to assess.

ReflectionThe paper does not discuss any management approaches, let alone community-based management. Therefore, it is not possible to determine whether the study meets the screening criteria.",No,The paper does not meet the screening criteria as it does not provide information on the benefits of CBFM or barriers to CBFM.," No; The paper is about the association between seagrass and sea cucumbers, and does not mention CBFM.

ReflectionThe paper is not relevant to the screening criteria as it does not focus on CBFM.",
77,Recommendations for the management of subsistence fisheries in South Africa,"This paper summarizes recommendations for the management of previously marginalized and neglected subsistence fisheries in South Africa. The recommendations stem from the activities and analyses of a task group appointed by Government and mandated to provide advice about management of the new fishing sector. The following focus areas were identified for attention: planning for implementation; definitions of subsistence fishers and other sectors; assessment and categorization of resources; determination of types of fishing activities; zonation; management systems; training; communication mechanisms; application and allocation procedures; compliance processes; research and monitoring; development of institutional capacity. Subsistence fishers were defined as poor people who personally harvest marine resources as a source of food or to sell them to meet basic needs of food security; they operate on or near to the shore or in estuaries, live in close proximity to the resource, consume or sell the resources locally, use low-technology gear (often as part of a long-standing community-based or cultural practice), and the resources they harvest generate only sufficient returns to meet basic needs of food security. A second group of informal fishers was identified that fishes for profit but cannot be equated to large industrial fisheries, and a new sector was proposed to accommodate these artisanal ""small-scale commercial"" fishers. Resources were classified for use by these different sectors based on accessibility, fishing methods, cash value and sustainability. In all, 12 different categories of subsistence and small-scale commercial fisheries were identified, and a preliminary list of resource species suitable for different fishing sectors is presented. A multi-tiered institutional management structure is recommended, with the national agency (MCM) controlling issues of national concern, and supporting and coordinating the activities of provincial and local structures. The management agents required for effective implementation were identified and include a dedicated national Subsistence Fisheries Management Unit, provincial management agencies that have the capacity to be delegated authority, Regional Fieldworkers, an independent Advisory Group for Subsistence Fisheries Management, local co-management structures, and community monitors responsible for observing and recording fishing activities and catches: Co-management, involving both authorities and users in joint management; is advocated in preference to previous top-down approaches, because of its potential to improve communication and compliance.",No,No,"The title and abstract do not mention any Pacific Island country, indicating that the study does not include a case study of CBFM in a Pacific Island country."," No.
ReflectionThe title and abstract do not mention any Pacific Island country, so it is unlikely that the study includes a case study of CBFM in a Pacific Island country.",Maybe,"The paper primarily focuses on fisheries management of subsistence and small-scale commercial fisheries in South Africa, but also includes broader marine resource management topics."," Yes; The paper discusses the management of subsistence fisheries in South Africa.

ReflectionThe paper focuses on subsistence and small-scale commercial fisheries in South Africa, which are related to the management of fisheries resources. However, the paper also discusses broader marine resource management issues such as zonation and institutional capacity building.",No,"While the abstract does not explicitly mention community-based management or co-management, it does propose a new sector for artisanal ""small-scale commercial"" fishers. However, it is unclear whether this new sector involves co-management with the government."," Maybe; The abstract mentions a new sector for artisanal ""small-scale commercial"" fishers, but it is unclear whether this new sector involves co-management with the government. 

ReflectionThe abstract defines subsistence fishers and informal fishers who cannot be equated to large industrial fisheries. It also proposes a new sector to accommodate artisanal ""small-scale commercial"" fishers. However, it does not explicitly mention community-based management or co-management.",No,The paper does not contain information on the benefits of CBFM or barriers to CBFM.," No; The paper is about the management of subsistence fisheries in South Africa. 
ReflectionThe paper does not mention CBFM, therefore it does not meet the screening criteria.",
78,Fisheries resource-use culture in Fiji and its implications,"Fishery exploitation in Fiji involves five discrete sectors: subsistence, artisanal, aquaculture, recreational and industrial. The different sectors vary in nature, characteristics and associated issues. Interesting developments are now taking place as coastal Fijian communities are addressing the ecological problems associated with dwindling resources. The people have initiated various attempts to identify more sustainable ways of using their fishery resources and are incorporating traditional and community-based resource-use methods into contemporary arrangements.",Yes,Maybe,"While the abstract does not explicitly mention CBFM, it does suggest that Fiji is exploring community-based approaches to managing its fishery resources. A closer look at the paper would be needed to determine if it meets the screening criteria."," No; The abstract does not mention CBFM or any specific case study related to it.

ReflectionCBFM stands for Community-Based Fisheries Management. The abstract talks about the use of traditional and community-based resource-use methods in Fiji but does not explicitly mention CBFM. However, the abstract does mention that coastal Fijian communities are addressing ecological problems associated with dwindling resources and attempting to identify more sustainable ways of using their fishery resources.",Yes,"The paper meets the screening criteria as it discusses fishery exploitation in Fiji, including different sectors and traditional and community-based resource-use methods."," Yes; The paper discusses different sectors of fishery exploitation in Fiji, including subsistence, artisanal, aquaculture, recreational, and industrial.

ReflectionThe paper focuses on fishery exploitation in Fiji, which aligns with the SC. It also mentions traditional and community-based resource-use methods, which could be considered broader marine resource management, but the focus is still on fisheries management.",Maybe,The abstract does not provide a clear indication of whether the study meets the screening criteria for community-based management. Further information would be needed to make a definitive determination.," Maybe; The abstract does not explicitly mention community-based management, but it does mention coastal Fijian communities taking initiatives to identify more sustainable ways of using their fishery resources.

ReflectionThe abstract does not use the specific term ""community-based management"" or provide a clear definition of it, but it does suggest that coastal communities in Fiji are taking steps towards more sustainable resource use. It is possible that some aspects of community-based management are being employed, but it is not clear from the abstract alone.",Maybe,"The paper may meet the screening criteria as it potentially discusses traditional and community-based resource-use methods, but it is unclear if it will address benefits of CBFM or barriers to its implementation."," Maybe; The abstract mentions that coastal Fijian communities are addressing ecological problems associated with dwindling resources and are incorporating traditional and community-based resource-use methods. However, it is unclear if the paper will discuss benefits of CBFM or barriers to CBFM. 

ReflectionThe paper may potentially meet the screening criteria if it discusses traditional and community-based resource-use methods, which could shed light on the benefits of CBFM or any barriers to its implementation. However, the abstract does not explicitly state whether or not the paper will address these topics.",
79,Introduction: Amazon fisheries,"Twelve years ago, a session on aquatic resources was organized during the first várzea conference. The articles presented in this session focused exclusively on fish resources, and analyses were based on only two study areas. The potential of community-based management for sustainable use of aquatic resources dominated the discussions. Twelve years later, the second várzea conference organized a similar session on aquatic resources. Some resemblances between the sessions could be noted, including familiar authors, research areas, and topics. The differences, however, are worth noting, among them the inclusion of floodplain resources other than fish. Community-based management again dominated the discussion but the second conference featured more critical analysis of its potential and limitations since after years of practical experience, several initiatives are evaluated. In general the chapters in this section show that significant progress in theory, methods, and practice was achieved in the last decade. Several issues remain to be better explored, including monitoring problems, and the availability of very limited data on co-management processes for making policy decisions. Scale also remains an issue, as do a series of land tenure issues. © Springer Science+Business Media B.V. 2011. All rights reserved.",No,No,the abstract does not include any case study of CBFM in a Pacific Island country.," No; the paper does not mention any Pacific Island country or CBFM.

ReflectionThe SC specifies that the study must include at least one case study of CBFM in a Pacific Island country. The abstract does not mention any Pacific Island country or CBFM, which means that the initial response is correct.",No,"The abstract mentions floodplain resources other than fish, which implies that the focus is not exclusively on fisheries management."," No; The abstract mentions other aquatic resources, not exclusively fisheries.
ReflectionThe SC aims to include studies with a focus on fisheries management, even if they are part of broader marine resource management. However, this abstract mentions other aquatic resources, which may indicate that the focus is not exclusively on fisheries management.",Maybe,"While the abstract mentions community-based management as a dominant topic of discussion, it is unclear whether the paper solely focuses on this approach or also includes government-based management or co-management."," Maybe; The abstract mentions community-based management, but it is unclear whether the paper focuses solely on this approach or also includes government-based management or co-management.

ReflectionThe abstract mentions community-based management as a dominant topic of discussion, and there is no mention of government-based management or co-management. However, the abstract does not explicitly state whether the paper only focuses on community-based management or also includes the other approaches.",No,There is no mention of CBFM or any related topic in the abstract.," No; The abstract is not related to CBFM in any way.
ReflectionThe abstract does not mention CBFM or any related topic. It focuses on the progress made in theory, methods, and practice in the last decade regarding aquatic resources, including fish and floodplain resources.",
80,The role of taboos in the protection and recovery of sea turtles,"Despite increased efforts from government agencies, scientists, and non-government organizations over the past few decades, anthropogenic sources of sea turtle mortality continue to threaten the survivorship of sea turtle species around the globe. More recent efforts to engage local people with community-based sea turtle conservation programs have been based primarily on economic incentives and less on cultural and social traditions. But there is growing evidence that informal institutions such as, taboos can be extremely effective at promoting wildlife conservation. Ghana is a culturally diverse country where local traditions have shown to improve protection for primates, crocodiles, and many bird species. This study explores the presence of a sea turtle taboo in fishing communities to demonstrate that traditional practices make residents more receptive to sea turtle conservation and more willing to follow government regulations. Fishers in the communities that are aware of the taboo are also more willing to adjust fishing methods to better protect sea turtles. The traditional taboo and national laws appear to be working synergistically to enhance sea turtle conservation in some regions of Ghana. This paper extends the argument that sea turtle conservation strategies succeed when the cultural and social traditions of local communities are integrated with management activities. © 2017 Alexander, Agyekumhene and Allman.",No,No,The study does not meet the screening criteria as it does not include a case study of CBFM in a Pacific Island country.," No; The abstract does not mention any Pacific Island country.
ReflectionThe study focuses on the effect of taboos on sea turtle conservation in Ghana, a West African country, and does not mention any Pacific Island country.",Maybe,"While the paper does not appear to be focused exclusively on fisheries management, it does explore the role of taboos in promoting sea turtle conservation, which may have implications for fisheries management. Therefore, it is possible that this paper could be included in a review of fisheries management literature."," Maybe; The abstract mentions sea turtles, but it is unclear whether fisheries management is a focus.
ReflectionThe abstract suggests that the paper is primarily focused on the role of cultural taboos in promoting sea turtle conservation. While the abstract suggests that regulations related to fisheries management may be playing a role in the success of conservation efforts, it is not clear whether fisheries management is a primary focus of the study.",Maybe,"The abstract mentions community-based sea turtle conservation programs, but it is not clear if it is the primary approach to management or if the community has primary responsibility for managing sea turtle resources."," Maybe; The abstract mentions ""community-based sea turtle conservation programs"" but it is not clear if it is the primary approach to management.
ReflectionThe abstract mentions community-based approaches, but it is not clear if it is the primary approach to management. The definition of community-based management provided is an approach that gives coastal communities and fishers primary responsibility for managing their coastal resources. The abstract mentions that traditional practices make residents more receptive to sea turtle conservation, but it is unclear if the community has primary responsibility for managing sea turtle resources.",No,The paper does not meet the screening criteria as it does not contain any information related to CBFM.," No; The abstract does not mention anything related to CBFM.
ReflectionThe SC requires that the paper should contain information on either the benefits of CBFM or barriers to CBFM. There is no mention of CBFM in the title or abstract.",
81,Politics of marine conservation area in Indonesia: From a centralised to a decentralised system,"This paper aims to analyse the current situation resulting from the Marine Conservation Area (MCA) in Indonesia in terms of the legal framework, institutional conflicts and the response of the local people. A case study of the centralised and decentralised MCA in West Lombok is presented, and the process of establishing the MCA and its institutional performance are reviewed. The performance of centralised system is still questioned because this system marginalises the local people that leads to the rise of conflict and eventually weakens the institution of MCA. Therefore, strengthening decentralised system is necessary to increase the sense of stewardship of the local people over the resources, and to shape a new paradigm of the relationship of poor people-environment and conservation-fisheries, so marginalisation of the local people can be avoided and finally a robust institution can be created. Nevertheless, the case of Awig-awig as a type of community-based coral reef management in Gili Indah shows that decentralised system does not assure achievement of more robust institutional performance. This means that the success of decentralisation is not taken for granted, but there is prerequisite to be considered. At the community level, the prerequisite is a creation of better institutional arrangement including increasing equitability among resource users, a better representation system during process of consensus building and a well-defined property right system. Furthermore, the improvement of legal framework in national level is necessary to create more harmonious legal products related to the marine conservation with emphasis on how to recognise and enhance capacity of the local institution, which may belong to the local government or the local people, in the marine conservation. Thus, community-based management or co-management system can be officially recognised and promoted. In addition, the decentralisation of marine conservation also requires the local governments to have adequate capacity building includes the following aspects: administration skill, political savvy, adaptability and expertise skill. Copyright © 2006 Inderscience Enterprises Ltd.",No,No,"The abstract does not provide any case study of CBFM in a Pacific Island country, as it only discusses the situation of MCA in Indonesia."," No; The abstract discusses the MCA and institutional conflicts in Indonesia, but there is no mention of any Pacific Island country.
ReflectionThe abstract does not meet the SC as it talks about Indonesia, which is not a Pacific Island country.",Maybe,"While the abstract does not solely focus on fisheries, it does mention the relationship between conservation and fisheries, making it a potential fit for the screening criteria."," Maybe; The abstract mentions marine conservation and the relationship between poor people-environment and conservation-fisheries, but it is unclear if there are specific fisheries related examples. 

ReflectionThe abstract discusses the Marine Conservation Area in Indonesia and the institutional conflicts related to its establishment. While the focus is not solely on fisheries, the abstract does mention the relationship between conservation and fisheries.",Maybe,"While the paper does not explicitly focus on community-based management, it does discuss the importance of involving local people in the management of marine resources and the need for better institutional arrangements at the community level. However, it also acknowledges the need for collaboration between local people and governments, which may not fit the strict definition of community-based management."," Maybe; The paper discusses both centralised and decentralised systems of MCA in Indonesia, but it is unclear whether they fit the definition of community-based management.
ReflectionThe paper discusses the importance of involving local people in the management of marine resources and the need for better institutional arrangements at the community level, which aligns with the principles of community-based management. However, the paper also discusses the role of local governments and the need for a better legal framework at the national level, which suggests a more collaborative approach to management.",No,The paper does not meet the screening criteria as it does not focus on the benefits or barriers of CBFM.," No; The paper does not meet either screening criteria as it does not focus on the benefits or barriers of Community-Based Fisheries Management (CBFM).
ReflectionThe paper discusses the Marine Conservation Area (MCA) in Indonesia and its legal framework, institutional conflicts, and the response of the local people. Although the paper discusses the benefits of decentralised MCA, it does not provide any information on the benefits of CBFM or the barriers to CBFM.",
82,"Environmental awareness and biodiversity conservation among resettled communal farmers in Gwayi Valley Conservation Area, Zimbabwe","This study was conducted in Gwayi Valley Conservation Area in Zimbabwe. The objective was to evaluate the level of environmental awareness raising among rural communities resettled by government in a wildlife conservation area and their behavior and actions towards biodiversity conservation. We selected three communities based on the degree of exposure to environmental awareness campaigns by various government departments and non-governmental organizations. This formed a gradient of exposure to environmental awareness campaigns, ranging from the most accessible and exposed community (Hangano), moderately exposed (Gwayi) through to the least accessible and exposed community (Karna). We used focus group discussions, key informant interviews and structured interviews with 95 respondents in the selected communities from November 2016 to April 2017. Through public awareness raising, a number of conservation groups were established including fire and hunting committees, anti-poaching teams and environmental resource monitors. While these groups were found to be either inactive or less effective in Gwayi and Karna, all were found to be very active and effective in Hangano. Similarly, community behavior and actions that caused biodiversity loss such as indiscriminate cutting of live trees, poaching, streambank cultivation, fishing in rivers with nets and use of sledges were much reduced in Hangano than in Gwayi and Karna. Frequent environmental awareness campaigns played a critical role in promoting biodiversity in Hangano. We conclude that substantial gains can be made in environmental conservation by investing more in public awareness campaigns, particularly in developing countries such as Zimbabwe where financial resources for conservation are scarce. © 2018, © 2018 Informa UK Limited, trading as Taylor & Francis Group.",No,No,"The study does not meet the SC because it was conducted in Zimbabwe, not a Pacific Island country."," No; The study was conducted in Zimbabwe, which is not a Pacific Island country.

ReflectionThe SC requires a case study of CBFM in a Pacific Island country. The study is conducted in Zimbabwe, which is not a Pacific Island country.",Maybe,"While the paper does not explicitly mention fisheries, it is possible that the conservation efforts include fisheries management. However, further investigation is needed to confirm this."," No; The paper does not mention fisheries or marine resource management.

ReflectionThe paper focuses on environmental awareness and biodiversity conservation among resettled communal farmers in Zimbabwe. While it does not mention fisheries explicitly, it is possible that the conservation efforts include fisheries management.",Yes,"The establishment of conservation groups by public awareness raising can be seen as a community-led approach to conservation, which aligns with the definition of community-based management."," Maybe; While the abstract does not explicitly state whether the study is related to community-based management, it does mention the establishment of conservation groups by public awareness raising. 
ReflectionThe definition of community-based management is an approach to fisheries management that gives coastal communities and fishers primary responsibility for managing their coastal resources, which is not explicitly mentioned in the abstract. However, the establishment of conservation groups by public awareness raising can be seen as a community-led approach to conservation.",No,"The abstract does not address CBFM, so it does not meet the screening criteria."," Maybe; The abstract mentions behavior and actions towards biodiversity conservation, but it is not clear if it includes barriers or benefits to using CBFM.
ReflectionThe SC asks for studies that address either barriers or benefits to CBFM. The abstract does not mention CBFM at all, but it does discuss behavior and actions towards biodiversity conservation. It is possible that CBFM is related to these behaviors and actions, but it is not explicitly stated.",
